id_article,authors,title,year,volume,first_page,last_page,pubmed,medline
14,"Taylor, M.B. and Juni, E.","Stereoisomeric specificities of 2,3-butanediol dehydrogenase. ",1960,39,448,457,NULL,NULL
15,"Asnis, R.E. and Brodie, A.F.",A glycerol dehydrogenase from Escherichia coli.,1953,203,153,159,NULL,NULL
16,"Burton, R.M. and Kaplan, N.O.",A DPN specific glycerol dehydrogenase from Aerobacter aerogenes.,1953,75,1005,1007,NULL,NULL
17,"Lin, E.C.C. and Magasanik, B.",The activation of glycerol dehydrogenase from Aerobacter aerogenes by monovalent cations.,1960,235,1820,1823,NULL,NULL
18,"Sellinger, O.Z. and Miller, O.N.","The metabolism of acetol phosphate. II. 1,2-Propanediol-1-phosphate dehydrogenase. ",1959,234,1641,1646,NULL,NULL
19,"Baranowski, T.",Alpha-Glycerophosphate dehydrogenase.,1963,7,85,96,NULL,NULL
20,"Brosemer, R.W. and Kuhn, R.W.",Comparative structural properties of honeybee and rabbit alpha-glycerophosphate dehydrogenases.,1969,8,2095,2105,4307630,69239085
21,"O'Brien, S.J. and MacIntyre, R.J.",The alpha-glycerophosphate cycle in Drosophila melanogaster. I. Biochemical and developmental aspects.,1972,7,141,161,4340553,NULL
22,"Warkentin, K.L. and Fondy, T.P.",Isolation and characterization of cytoplasmic L-glycerol-3-phosphate dehydrogenase from rabbit-renal-adipose tissue and its comparison with the skeletal-muscle enzyme.,1973,36,97,109,4200180,NULL
23,"Albertyn, J., van Tonder, A. and Prior, B.A.",Purification and characterization of glycerol-3-phosphate dehydrogenase of Saccharomyces cerevisiae.,1992,308,130,132,1499720,NULL
24,"Koekemoer, T.C., Litthauer, D. and Oelofsen, W.",Isolation and characterization of adipose tissue glycerol-3-phosphate dehydrogenase.,1995,27,625,632,7671141,NULL
25,"Chiang, C. and Knight, S.G.",A new pathway of pentose metabolism. ,1960,3,554,559,NULL,NULL
26,"Hickman, J. and Ashwell, G.",A sensitive and stereospecific enzymatic assay for xylulose. ,1959,234,758,761,NULL,NULL
27,"Jakoby, W.B. and Fredericks, J.",Erythritol dehydrogenase from Aerobacter aerogenes.,1961,48,26,32,NULL,NULL
28,"Doten, R.C. and Mortlock, R.P.",Characterization of xylitol-utilizing mutants of Erwinia uredovora.,1985,161,529,533,2981816,85104772
29,"Hickman, J. and Ashwell, G.",A sensitive and stereospecific enzymatic assay for xylulose.,1959,234,758,761,NULL,NULL
30,"Hollmann, S. and Touster, O.",The L-xylulose-xylitol enzyme and other polyol dehydrogenases of guinea pig liver mitochondria.,1957,225,87,102,NULL,NULL
31,"Touster, O., Reynolds, V.H. and Hutcheson, R.M.",The reduction of L-xylulose to xylitol by guinea pig liver mitochondria.,1956,221,697,709,NULL,NULL
32,"Lin, E.C.C.",An inducible D-arabitol dehydrogenase from Aerobacter aerogenes.,1961,236,31,36,NULL,NULL
33,"Wood, W.A., McDonough, M.J. and Jacobs, L.B.",Ribitol and D-arabitol utilization by Aerobacter aerogenes.,1961,236,2190,2195,NULL,NULL
34,"Chiang, C. and Knight, S.G.",A new pathway of pentose metabolism. ,1960,3,554,559,NULL,NULL
35,"Chiang, C. and Knight, S.G.",L-arabinose metabolism by cell-free extracts of Penicillium chrysogenum.,1961,46,271,278,NULL,NULL
36,"Chiang, C. and Knight, S.G.",L-arabinose metabolism by cell-free extracts of Penicillium chrysogenum.,1961,46,271,278,NULL,NULL
37,"Bailey, J.P., Renz, C. and McGuinness, E.T.","Sorbitol dehydrogenase from horse liver: purification, characterization and comparative properties.",1981,69B,909,914,NULL,NULL
38,"Burnell, J.N. and Holmes, R.S.",Purification and properties of sorbitol dehydrogenase from mouse liver.,1983,15,507,511,6852349,83210528
39,"Leissing, N. and McGuinness, E.T.",Rapid affinity purification and properties of rat liver sorbitol dehydrogenase.,1978,524,254,261,667078,78211176
40,"Negm, F.B. and Loescher, W.H.",Detection and characterization of sorbitol dehydrogenase from apple callus tissue.,1979,64,69,73,NULL,NULL
41,"O'Brien, M.M., Schofield, P.J. and Edwards, M.R.",Polyol-pathway enzymes of human brain. Partial purification and properties of sorbitol dehydrogenase.,1983,211,81,90,6870831,83256446
42,"Ng, K., Ye, R., Wu, X. C., Wong, S. L.","Sorbitol dehydrogenase from Bacillus subtilis. Purification, characterization, and gene cloning.",1992,267,24989,24994,1460002,NULL
43,"Shaw, D.R.D.",Polyol dehydrogenases. 3. Galactitol dehydrogenase and D-iditol dehydrogenase. ,1956,64,394,405,NULL,NULL
44,"Shaw, D.R.D.",Polyol dehydrogenases 3. Galactitol dehydrogenase and D-iditol dehydrogenase. ,1956,64,394,405,NULL,NULL
45,"Marmur, J. and Hotchkiss, R.D.","Mannitol metabolism, a transferable property of pneumococcus. ",1955,214,383,396,NULL,NULL
46,"Wolff, J.B. and Kaplan, N.O.",Hexose phosphate and hexose reductase. A. D-mannitol-1-phosphate dehydrogenase from E. coli.,1955,1,346,348,NULL,NULL
47,"Wolff, J.B. and Kaplan, N.O.",D-mannitol 1-phosphate dehydrogenase from Escherichia coli.,1956,218,849,869,NULL,NULL
48,"Berman, T. and Magasanik, B.",The pathway of myo-inositol degradation in Aerobacter aerogenes. Dehydrogenation and dehydration.,1966,241,800,806,5905122,66093120
49,"Larner, J., Jackson, W.T., Graves, D.J. and Stamner, J.R.",Inositol dehydrogenase from Aerobacter aerogenes.,1956,60,352,363,NULL,NULL
50,"Vidal-Lieria, M. and van Uden, N.",Inositol dehydrogenase from the yeast Cryptococcus melibiosum.,1973,293,295,303,4351258,73200109
51,"Sivak, A. and Hoffmann-Ostenhof, O.",Enzymes of meso-inositol catabolism in the yeast Schwanniomyces occidentalis.,1961,53,426,428,NULL,NULL
52,"Von Wartburg, J.P. and Wermoth, B.",Aldehyde reductase.,1980,1,249,260,NULL,NULL
53,"York, J.L., Grollman, A.P. and Bublitz, C.",TPN-L-gulonate dehydrogenase. ,1961,47,298,306,NULL,NULL
54,"Suzuki, K., Mano, Y. and Shimazono, N.",Conversion of L-gulonolactone to L-ascorbic acid; properties of the microsomal enzyme in rat liver. ,1960,48,313,315,NULL,NULL
55,"Attwood, M.A. and Doughty, C.C.",Purification and properties of calf liver aldose reductase.,1974,370,358,368,4216364,75072922
56,"Boghosian, R.A. and McGuinness, E.T.",Affinity purification and properties of porcine brain aldose reductase.,1979,567,278,286,36151,79187977
57,"Hers, H.G.",L'Aldose-reductase.,1960,37,120,126,NULL,NULL
58,"Scher, B.M. and Horecker, B.L.",Pentose metabolism in Candida. 3. The triphosphopyridine nucleotide-specific polyol dehydrogenase of Candida utilis.,1966,116,117,128,4381350,67122775
59,"Druzhinina, T.N., Kusov, Y.Y., Shibaev, V.N., Kochetkov, N.K., Biely, P., Kucar, S. and Bauer, S.","Uridine diphosphate 2-deoxyglucose. Chemical synthesis, enzymic oxidation and epimerization.",1975,381,301,307,1091296,75128143
60,"Maxwell, E.S., Kalckar, H.M. and Strominger, J.L.",Some properties of uridine diphosphoglucose dehydrogenase.,1956,65,2,10,13373402,NULL
61,"Strominger, J.L. and Mapson, L.W.",Uridine diphosphoglucose dehydrogenase of pea seedlings.,1957,66,567,572,13459898,NULL
62,"Strominger, J.L., Maxwell, E.S., Axelrod, J. and Kalckar, H.M.",Enzymatic formation of uridine diphosphogluconic acid.,1957,224,79,90,13398389,NULL
63,"Adams, E.",Enzymatic synthesis of histidine from histidinol.,1954,209,829,846,NULL,NULL
64,"Adams, E.","L-histidinal, a biosynthetic precursor of histidine.",1955,217,325,344,NULL,NULL
65,"Loper, J.C.",Histidinol dehydrogenase from Salmonella typhimurium. Crystallization and composition studies.,1968,243,3264,3272,4872177,68284252
66,"Yourno, J. and Ino, I.",Purification and crystallization of histidinol dehydrogenase from Salmonella typhimurium LT-2.,1968,243,3273,3276,4872176,68284251
67,"Gamborg, O.L.",Aromatic metabolism in plants. III. Quinate dehydrogenase from mung bean cell suspension cultures. ,1966,128,483,491,NULL,NULL
68,"Mitsuhashi, S. and Davis, B.D.",Aromatic biosynthesis. XIII. Conversion of quinic acid to 5-dehydroquinic acid by quinic dehydrogenase. ,1954,15,268,280,NULL,NULL
69,"Balinsky, D. and Davies, D.D.",Aromatic biosynthesis in higher plants. 1. Preparation and properties of dehydroshikimic reductase. ,1961,80,292,296,13686342,NULL
70,"Mitsuhashi, S. and Davis, B.D.",Aromatic biosynthesis. XIII. Conversion of quinic acid to 5-dehydroquinic acid by quinic dehydrogenase. ,1954,15,268,280,13208693,NULL
71,"Yaniv, H. and Gilvarg, C.",Aromatic biosynthesis. XIV. 5-dehydroshikimic reductase. ,1955,213,787,795,14367339,NULL
72,"Chaudhuri, S. and Coggins, J.R.",The purification of shikimate dehydrogenase from Escherichia coli.,1985,226,217,223,3883995,NULL
73,"Anton, I.A. and Coggins, J.R.",Sequencing and overexpression of the Escherichia coli aroE gene encoding shikimate dehydrogenase.,1988,249,319,326,3277621,NULL
74,"Ye, S., Von Delft, F., Brooun, A., Knuth, M.W., Swanson, R.V. and McRee, D.E.",The crystal structure of shikimate dehydrogenase (AroE) reveals a unique NADPH binding mode.,2003,185,4144,4151,12837789,NULL
75,"Zelitch, I.",Oxidation and reduction of glycolic and glyoxylic acids in plants. II. Glyoxylic acid reductase. ,1953,201,719,726,NULL,NULL
76,"Zelitch, I.",The isolation and action of crystalline glyoxylic acid reductase from tobacco leaves. ,1955,216,553,575,NULL,NULL
77,"Dennis, D. and Kaplan, N.O.",D and L-lactic acid dehydrogenase in Lactobacillus plantarum.,1960,235,810,818,NULL,NULL
78,"Everse, J. and Kaplan, N.O.",Lactate dehydrogenases: structure and function. ,1973,37,61,133,4146647,73229641
79,"Holbrook, J.J., Liljas, A., Steindel, S.J. and Rossmann, M.G.",Lactate dehydrogenase. ,1975,11,191,292,NULL,NULL
80,"Schaer, H.-P. and Zuber, H.",Structure and function of L-lactate dehydrogenases from thermophilic and mesophilic bacteria. I) Isolation and characterization of lactate dehydrogenases from thermophilic and mesophilic bacilli. ,1979,360,795,807,114469,80026025
81,"Dennis, D. and Kaplan, N.O.",D and L-lactic acid dehydrogenase in Lactobacillus plantarum.,1960,235,810,818,NULL,NULL
82,"Holzer, H. and Holldorf, A.",NULL,1957,329,292,NULL,NULL,NULL
83,"Stafford, H.A., Magaldi, A. and Vennesland, B.",The enzymatic reduction of hydroxypyruvic acid to D-glyceric acid in higher plants.,1954,207,621,629,13163046,NULL
84,"Bergmeyer, H.-U., Gawehn, K., Klotzsch, H., Krebs, H.A. and Williamson, D.H.",Purification and properties of crystalline 3-hydroxybutyrate dehydrogenase from Rhodopseudomonas spheroides.,1967,102,423,431,4291491,67200139
85,"Delafield, F.P., Cooksey, K.E. and Doudoroff, M.",Beta-hydroxybutyric dehydrogenase and dimer hydrolase of Pseudomonas lemoignei.,1965,240,4023,4028,4954074,66039064
86,"Lehninger, A.L., Sudduth, H.C. and Wise, J.B.",D-beta-hydroxybutyric dehydrogenase of mitochondria. ,1960,235,2450,2455,NULL,NULL
87,"Robinson, W.G. and Coon, M.J.",The purification and properties of beta-hydroxyisobutyric dehydrogenase.,1957,225,511,521,NULL,NULL
88,"Schlesinger, M.J. and Coon, M.J.",Reduction of mevaldic acid to mevalonic acid by a partial purified enzyme from liver.,1961,236,2421,2424,13747804,NULL
89,"Coon, M.J., Kupiecki, F.P., Dekker, E.E., Schlesinger, M.J. and del Campillo, A.",The enzymic synthesis of branched-chain acids.,1959,NULL,62,74,NULL,NULL
90,"Von Wartburg, J.P. and Wermoth, B.",Aldehyde reductase.,1980,1,249,260,NULL,NULL
91,"Bucher, N.L.R., Overath, P. and Lynen, F.","Beta-hydroxy-beta-methylglutaryl coenzyme A reductase, cleavage and condensing enzymes in relation to cholesterol formation in rat liver.",1960,40,491,501,NULL,NULL
92,"Durr, I.F. and Rudney, H.",The reduction of beta-hydroxy-beta-methylglutaryl coenzyme A to mevalonic acid.,1960,235,2572,2578,13818862,NULL
93,"Kawachi, T. and Rudney, H.",Solubilization and purification of beta-hydroxy-beta-methylglutaryl coenzyme A reductase from rat liver.,1970,9,1700,NULL,4985697,70161020
94,"Hillmer, P. and Gottschalk, G.",Solubilization and partial characterization of particulate dehydrogenases from Clostridium kluyveri.,1974,334,12,23,NULL,NULL
95,"Lehninger, A.L. and Greville, G.D.",The enzymatic oxidation of d- and l-beta-hydroxybutyrate of particulate dehyrogenases from Clostridium kluyvei.,1953,12,188,202,13115428,NULL
96,"Stern, J.R.",Crystalline beta-hydroxybutyrate dehydrogenase from pig heart.,1957,26,448,449,13499396,NULL
97,"Wakil, S.J., Green, D.E., Mii, S. and Mahler, H.R.",Studies on the fatty acid oxidizing system of animal tissues. VI. beta-hydroxyacyl coenzyme A dehydrogenase.,1954,207,631,638,13163047,NULL
98,"Wakil, S.J. and Bressler, R.",Studies on the mechanism of fatty acid synthesis. X. Reduced triphosphopyridine nucleotide-acetoacetyl coenzyme A reductase. ,1962,237,687,693,NULL,NULL
99,"Banaszak, L.J. and Bradshaw, R.A.",Malate dehydrogenase. ,1975,11,369,396,NULL,NULL
100,"Guha, A., Englard, S. and Listowsky, I.",Beef heart malic dehydrogenases. VII. Reactivity of sulfhydryl groups and conformation of the supernatant enzyme. ,1968,243,609,615,5637713,68132611
101,"McReynolds, M.S. and Kitto, G.B.",Purification and properties of Drosophila malate dehydrogenases.,1970,198,165,175,4313528,70126614
102,"Wolfe, R.G. and Nielands, J.B.",Some molecular and kinetic properties of heart malic dehydrogenase. ,1956,221,61,69,NULL,NULL
103,"Kaufman, S., Korkes, S. and del Campillo, A.",Biosynthesis of dicarboxylic acids by carbon dioxide fixation. V. Further studies of the 'malic' enzyme of Lactobacillus arabinosus.,1951,192,301,312,14917678,NULL
104,"Yamaguchi, M.",Studies on regulatory functions of malic enzymes. IV. Effects of sulfhydryl group modification on the catalytic function of NAD-linked malic enzyme from Escherichia coli.,1979,86,325,333,225306,NULL
105,"Saz, H.J. and Hubbard, J.A.",The oxidative decarboxylation of malate by Ascoris lumbricoides.,1957,225,921,933,NULL,NULL
106,"Harary, I., Korey, S.R. and Ochoa, S.",NULL,1953,203,595,604,13084629,NULL
107,"Ochoa, S., Mehler, A.H. and Kornberg, A.",Biosynthesis of dicarboxylic acids by carbon dioxide fixation. I. Isolation and properties of an enzyme from pigeon liver catalyzing the reversible oxidative decarboxylation of l-malic acid.,1948,174,979,1000,18871257,NULL
108,"Rutter, W.J. and Lardy, H.A.",Purification and properties of pigeon liver malic enzyme.,1958,233,374,382,13563505,NULL
109,"Strickland, R.G.",Some properties of the malic enzyme of pigeon liver. 1. Conversion of malate into pyruvate.,1959,73,646,654,13834656,NULL
110,"Strickland, R.G.",Some properties of the malic enzyme of pigeon liver. 2. Synthesis of malate from pyruvate.,1959,73,654,659,13834657,NULL
111,"Walker, D.A.",Physiological studies on acid metabolism. 7. Malic enzyme from Kalanchoe crenata: effects of carbon dioxide concentration.,1960,74,216,223,13842495,NULL
112,"Hathaway, J.A. and Atkinson, D.E.","The effect of adenylic acid on yeast nicotinamide adenine dinucleotide isocitrate dehydrogenase, a possible metabolic control mechanism.",1963,238,2875,2881,14063317,NULL
113,"Kornberg, A. and Pricer, W.E.",Di- and triphosphopyridine nucleotide isocitric dehydrogenase in yeast.,1951,189,123,136,14832224,NULL
114,"Plaut, G.W.E.",Isocitrate dehydrogenases.,1963,7,105,126,NULL,NULL
115,"Plaut, G.W.E. and Sung, S.-C.",Diphosphopyridine nucleotide isocitric dehydrogenase from animal tissues.,1954,207,305,314,13152105,NULL
116,"Ramakrishnan, C.V. and Martin, S.M.",Isocitric dehydrogenase in Aspergillus niger.,1955,55,403,407,NULL,NULL
117,"Vickery, H.B.",A suggested new nomenclature for the isomers of isocitric acid.,1962,237,1739,1741,13925783,NULL
118,"Camacho, M.L., Brown, R.A., Bonete, M.-J., Danson, M.J. and Hough, D.W.","Isocitrate dehydrogenases from Haloferax volcanii and Sulfolobus solfataricus: enzyme purification, characterization and N-terminal sequence.",1996,134,85,90,8593959,NULL
119,"Kim, Y.-O., Koh, H.-J., Kim, S.-H., Jo, S.-H., Huh, J.-W., Jeong, K.-S., Lee, I.J., Song, B.J. and Huh, T.-L.","Identification and functional characterization of a novel, tissue-specific NAD(+)-dependent isocitrate dehydrogenase beta subunit isoform.",2000,274,36866,36875,10601238,NULL
120,"Inoue, H., Tamura, T., Ehara, N., Nishito, A., Nakayama, Y., Maekawa, M., Imada, K., Tanaka, H. and Inagaki, K.",Biochemical and molecular characterization of the NAD(+)-dependent isocitrate dehydrogenase from the chemolithotroph Acidithiobacillus thiooxidans.,2002,214,127,132,12204383,NULL
121,"Agosin, M.U. and Weinbach, E.C.",Partial purification and characterization of the isocitric dehydrogenase from Trypanosoma cruzi.,1956,21,117,126,13363868,NULL
122,"Moyle, J. and Dixon, M.",Purification of the isocitrate enzyme (triphosphopyridine nucleotide-linked isocitrate dehydrogenase-oxalosuccinate carboxylase).,1956,63,548,552,13355848,NULL
123,"Plaut, G.W.E.",Isocitrate dehydrogenases.,1963,7,105,126,NULL,NULL
124,"Siebert, G., Dubuc, J., Warner, R.C. and Plaut, G.W.E.",The preparation of isocitrate dehydrogenase from mammalian heart.,1957,226,965,975,13438885,NULL
125,"Vickery, H.B.",A suggested new nomenclature for the isomers of isocitric acid.,1962,237,1739,1741,13925783,NULL
126,"Camacho, M.L., Brown, R.A., Bonete, M.-J., Danson, M.J. and Hough, D.W.","Isocitrate dehydrogenases from Haloferax volcanii and Sulfolobus solfataricus: enzyme purification, characterization and N-terminal sequence.",1996,134,85,90,8593959,NULL
127,"Steen, I.H., Lien, T. and Birkeland, N.-K.","Biochemical and phylogenetic characterization of isocitrate dehydrogenase from a hyperthermophilic archaeon, Archaeoglobus fulgidus.",1998,168,412,420,9325430,NULL
128,"Koh, H.-J., Lee, S.-M., Son, B.-G., Lee, S.-H., Ryoo, Z.Y., Chang, K.-T., Park, J.-W., Park, D.-C., Song, B.J., Veech, R.L., Song, H. and Huh, T.-L.",Cytosolic NADP(+)-dependent isocitrate dehydrogenase plays a key role in lipid metabolism.,2004,279,39968,39974,15254034,NULL
129,"Ceccarelli, C., Grodsky, N.B., Ariyaratne, N., Colman, R.F. and Bahnson, B.J.",Crystal structure of porcine mitochondrial NADP(+)-dependent isocitrate dehydrogenase complexed with Mn(2+) and isocitrate. Insights into the enzyme mechanism.,2002,277,43454,43462,12207025,NULL
130,"Frampton, E.W. and Wood, W.A.",Carbohydrate oxidation by Pseudomonas fluorescens. VI. Conversion of 2-keto-6-phosphogluconate to pyruvate.,1961,236,2571,2577,NULL,NULL
131,"Dickens, F. and Glock, G.E.","Direct oxidation of glucose-6-phosphate, 6-phosphogluconate and pentose-5-phosphate by enzymes of animal origin.",1951,50,81,95,14904376,NULL
132,"Pontremoli, S., de Flora, A., Grazi, E., Mangiarotti, G., Bonsignore, A. and Horecker, B.L.","Purification and properties of beta-L-hydroxy acid dehydrogenase. II. Isolation of beta-keto-L-gluconic acid, an intermediate in L-xylulose biosynthesis.",1961,236,2975,2980,14487824,NULL
133,"Scott, D.B.M. and Cohen, S.S.",The oxidative pathway of carbohydrate metabolism in Escherichia coli. 1. The isolation and properties of glucose 6-phosphate dehydrogenase and 6-phosphogluconate dehydrogenase.,1953,55,23,33,13093611,NULL
134,"Scott, D.B.M. and Cohen, S.S.",The oxidative pathway of carbohydrate metabolism in Escherichia coli. 5. Isolation and identification of ribulose phosphate produced from 6-phosphogluconate by the dehydrogenase of E. coli.,1957,65,686,689,13426085,NULL
135,"Bridges, R. B., Palumbo, M. P., Wittenberger, C. L.",Purification and properties of an NADP-specific 6-phosphogluconate dehydrogenase from Streptococcus faecalis.,1975,250,6093,6100,238996,NULL
136,"Yoon, H., Anderson, C. D., Anderson, B. M.",Kinetic studies of Haemophilus influenzae 6-phosphogluconate dehydrogenase.,1989,994,75,80,2783298,NULL
137,"Zamboni, N., Fischer, E., Laudert, D., Aymerich, S., Hohmann, H. P., Sauer, U.",The Bacillus subtilis yqjI gene encodes the NADP+-dependent 6-P-gluconate dehydrogenase in the pentose phosphate pathway.,2004,186,4528,4534,15231785,NULL
138,"Dworsky, P. and Hoffmann-Ostenhof, O.",L-3-aldonic acid dehydrogenase from Schwanniomyces occidentalis.,1964,11,269,277,NULL,NULL
139,"Smiley, J.D. and Ashwell, G.","Purification and properties of beta-L-hydroxy acid dehydrogenase. II. Isolation of beta-keto-L-gluconic acid, an intermediate in L-xylulose biosynthesis. ",1961,236,357,364,NULL,NULL
140,"Weimberg, R. and Doudoroff, M.",The oxidation of L-arabinose by Pseudomonas saccharophila.,1955,217,607,624,13271422,NULL
141,"Banauch, D., Brummer, W., Ebeling, W., Metz, H., Rindfrey, H., Lang, H., Leybold, K. and Rick, W.",A glucose dehydrogenase for the determination of glucose concentrations in body fluids.,1975,13,101,107,810982,76057414
142,"Brink, N.G.",Beef liver glucose dehydrogenase. 1. Purification and properties.,1953,7,1081,1089,NULL,NULL
143,"Pauly, H.E. and Pfleiderer, G.","D-glucose dehydrogenase from Bacillus megaterium M 1286: purification, properties and structure.",1975,356,1613,1623,2530,NULL
144,"Strecker, H.J. and Korkes, S.",Glucose dehydrogenase.,1952,196,769,784,12981017,NULL
145,"Thompson, R.E. and Carper, W.R.",Glucose dehydrogenase from pig liver. I. Isolation and purification.,1970,198,397,406,4392298,70151097
146,"Fujita, Y., Ramaley, R., Freese, E.",Location and properties of glucose dehydrogenase in sporulating cells and spores of Bacillus subtilis.,1977,132,282,293,21162,NULL
147,"De Ley, J. and Doudoroff, M.",The metabolism of D-galactose in Pseudomonas saccharophila.,1957,227,745,757,13462997,NULL
148,"Hu, A.S.L. and Cline, A.L.",The regulation of some sugar dehydrogenases in a pseudomonad.,1964,93,237,245,14251301,NULL
149,"Glaser, L. and Brown, D.H.",Purification and properties of D-glucose-6-phosphate dehydrogenase.,1955,216,67,79,13252007,NULL
150,"Julian, G.R., Wolfe, R.G. and Reithel, F.J.",The enzymes of mammary gland. II. The preparation of glucose 6-phosphate dehydrogenase.,1961,236,754,758,13790996,NULL
151,"Noltmann, E.A., Gubler, C.J. and Kuby, S.A.",Glucose 6-phosphate dehydrogenase (Zwischenferment). I. Isolation of the crystalline enzyme from yeast.,1961,236,1225,1230,13729473,NULL
152,"Engel, H.J., Domschke, W., Alberti, M. and Domagk, G.F.",Protein structure and enzymatic activity. II. Purification and properties of a crystalline glucose-6-phosphate dehydrogenase from Candida utilis.,1969,191,509,516,5363983,NULL
153,"Cho, S. W., Joshi, J. G.",Characterization of glucose-6-phosphate dehydrogenase isozymes from human and pig brain.,1990,38,819,828,2270145,NULL
154,"Miclet, E., Stoven, V., Michels, P.A., Opperdoes, F.R., Lallemand, J.-Y. and Duffieux, F.",NMR spectroscopic analysis of the first two steps of the pentose-phosphate pathway elucidates the role of 6-phosphogluconolactonase.,2001,276,34840,34846,11457850,NULL
155,"Iyer, R. B., Wang, J., Bachas, L. G.","Cloning, expression, and characterization of the gsdA gene encoding thermophilic glucose-6-phosphate dehydrogenase from Aquifex aeolicus.",2002,6,283,289,12215813,NULL
156,"Hansen, T., Schlichting, B., Schonheit, P.",Glucose-6-phosphate dehydrogenase from the hyperthermophilic bacterium Thermotoga maritima: expression of the g6pd gene and characterization of an extremely thermophilic enzyme.,2002,216,249,253,12435510,NULL
157,"Ibraheem, O., Adewale, I. O., Afolayan, A.",Purification and properties of glucose 6-phosphate dehydrogenase from Aspergillus aculeatus.,2005,38,584,590,16202239,NULL
158,"Olavarria, K., Valdes, D., Cabrera, R.",The cofactor preference of glucose-6-phosphate dehydrogenase from Escherichia coli--modeling the physiological production of reduced cofactors.,2012,279,2296,2309,22519976,NULL
159,"Jarabak, J. and Talalay, P.",Stereospecificity of hydrogen transfer by pyridine nucleotide-linked hydroxysteroid hydrogenase.,1960,235,2147,2151,14406805,NULL
160,"Kochakian, C.D., Carroll, B.R. and Uhri, B.",Comparison of the oxidation of C(19)-hydroxy steroids by guinea pig liver homogenate.,1957,224,811,818,13405910,NULL
161,"Marcus, P.I. and Talalay, P.",Induction and purification of alpha- and beta-hydroxysteroid dehydrogenases.,1956,218,661,674,13295221,NULL
162,"Penning, T.M. and Sharp, R.B.",Prostaglandin dehydrogenase activity of purified rat liver 3 alpha-hydroxysteroid dehydrogenase.,1987,148,646,652,3479982,88076937
163,"Dahm, K. and Breuer, H.",Anreicherung einer 17-beta-hydroxysteroid:NAD(P)-oxydoreduktase aus der Nebenniere der Ratte. ,1964,336,63,68,NULL,NULL
164,"Lynn, W.S. and Brown, R.H.",The conversion of progesterone to androgens by testes. ,1958,232,1015,1030,NULL,NULL
165,"Marcus, P.I. and Talalay, P.",Induction and purification of alpha- and beta-hydroxysteroid dehydrogenases. ,1956,218,661,674,NULL,NULL
166,"Schultz, R.M., Groman, F.V. and Engel, L.L.",3(17)-beta-hydroxysteroid dehydrogenase of Pseudomonas testosteroni. A convenient purification and demonstration of multiple molecular forms.,1977,252,3775,3783,193845,77187875
167,"Talalay, P. and Dobson, M.M.",Purification and properties of a alpha-hydroxysteroid dehydrogenase. ,1953,205,823,837,NULL,NULL
168,"Hayaishi, O., Saito, Y., Jakoby, W.B. and Stohlman, E.F.",Reversible enzymatic oxidation of bile acids.,1955,56,554,555,14377608,NULL
169,"Edwards, C.A.F. and Orr, J.C.",Comparison of the 3-alpha-and 20-beta-hydroxysteroid dehydrogenase activities of the cortisone reductase of Streptomyces hydrogenans.,1978,17,4370,4376,718844,79062206
170,"Huebener, H.J. and Sahrholz, F.G.",20-beta-hydroxy-steroid-dehydrogenase. II. Darstellung und Kristallisation. ,1960,333,95,105,NULL,NULL
