id_enzyme,ec1,ec2,ec3,ec4,"accepted_name,",systematic_name,cofactors,activity,history
17,1,1,1,17,Mannitol-1-phosphate 5-dehydrogenase,D-mannitol-1-phosphate:NAD(+) 5-oxidoreductase,NULL,D-mannitol 1-phosphate + NAD(+) = D-fructose 6-phosphate + NADH.,EC 1.1.1.17 created 1961
18,1,1,1,18,Inositol 2-dehydrogenase,Myo-inositol:NAD(+) 2-oxidoreductase,NULL,"Myo-inositol + NAD(+) = 2,4,6/3,5-pentahydroxycyclohexanone + NADH.",EC 1.1.1.18 created 1961
19,1,1,1,19,Glucuronate reductase,L-gulonate:NADP(+) 6-oxidoreductase,NULL,L-gulonate + NADP(+) = D-glucuronate + NADPH.,EC 1.1.1.19 created 1961
20,1,1,1,20,Glucuronolactone reductase,"L-gulono-1,4-lactone:NADP(+) 1-oxidoreductase",NULL,"L-gulono-1,4-lactone + NADP(+) = D-glucurono-3,6-lactone + NADPH.",EC 1.1.1.20 created 1961
21,1,1,1,21,Aldehyde reductase,Alditol:NAD(P)(+) 1-oxidoreductase,NULL,Alditol + NAD(P)(+) = aldose + NAD(P)H.,"EC 1.1.1.21 created 1961 (EC 1.1.1.139 created 1972, incorporated 1978)"
22,1,1,1,22,UDP-glucose 6-dehydrogenase,UDP-glucose:NAD(+) 6-oxidoreductase,NULL,UDP-glucose + 2 NAD(+) + H(2)O = UDP-glucuronate + 2 NADH.,EC 1.1.1.22 created 1961
23,1,1,1,23,Histidinol dehydrogenase,L-histidinol:NAD(+) oxidoreductase,NULL,L-histidinol + H(2)O + 2 NAD(+) = L-histidine + 2 NADH.,EC 1.1.1.23 created 1961
24,1,1,1,24,Quinate dehydrogenase,L-quinate:NAD(+) 3-oxidoreductase,NULL,Quinate + NAD(+) = 3-dehydroquinate + NADH.,"EC 1.1.1.24 created 1961, modified 1976, modified 2004"
25,1,1,1,25,Shikimate dehydrogenase,Shikimate:NADP(+) 3-oxidoreductase,NULL,Shikimate + NADP(+) = 3-dehydroshikimate + NADPH.,"EC 1.1.1.25 created 1961, modified 1976, modified 2004"
26,1,1,1,26,Glyoxylate reductase,Glycolate:NAD(+) oxidoreductase,NULL,Glycolate + NAD(+) = glyoxylate + NADH.,EC 1.1.1.26 created 1961
27,1,1,1,27,L-lactate dehydrogenase,(S)-lactate:NAD(+) oxidoreductase,NULL,(S)-lactate + NAD(+) = pyruvate + NADH.,EC 1.1.1.27 created 1961
28,1,1,1,28,D-lactate dehydrogenase,(R)-lactate:NAD(+) oxidoreductase,NULL,(R)-lactate + NAD(+) = pyruvate + NADH.,EC 1.1.1.28 created 1961
29,1,1,1,29,Glycerate dehydrogenase,D-glycerate:NAD(+) oxidoreductase,NULL,D-glycerate + NAD(+) = hydroxypyruvate + NADH.,EC 1.1.1.29 created 1961
30,1,1,1,30,3-hydroxybutyrate dehydrogenase,(R)-3-hydroxybutanoate:NAD(+) oxidoreductase,NULL,(R)-3-hydroxybutanoate + NAD(+) = acetoacetate + NADH.,EC 1.1.1.30 created 1961
31,1,1,1,31,3-hydroxyisobutyrate dehydrogenase,3-hydroxy-2-methylpropanoate:NAD(+) oxidoreductase,NULL,3-hydroxy-2-methylpropanoate + NAD(+) = 2-methyl-3-oxopropanoate + NADH.,EC 1.1.1.31 created 1961
32,1,1,1,32,Mevaldate reductase,(R)-mevalonate:NAD(+) oxidoreductase,NULL,(R)-mevalonate + NAD(+) = mevaldate + NADH.,EC 1.1.1.32 created 1961
33,1,1,1,33,Mevaldate reductase (NADPH),(R)-mevalonate:NADP(+) oxidoreductase,NULL,(R)-mevalonate + NADP(+) = mevaldate + NADPH.,EC 1.1.1.33 created 1961
34,1,1,1,34,Hydroxymethylglutaryl-CoA reductase (NADPH),(R)-mevalonate:NADP(+) oxidoreductase (CoA-acylating),NULL,(R)-mevalonate + CoA + 2 NADP(+) = (S)-3-hydroxy-3-methylglutaryl-CoA +2 NADPH.,EC 1.1.1.34 created 1961
35,1,1,1,35,3-hydroxyacyl-CoA dehydrogenase,(S)-3-hydroxyacyl-CoA:NAD(+) oxidoreductase,NULL,(S)-3-hydroxyacyl-CoA + NAD(+) = 3-oxoacyl-CoA + NADH.,EC 1.1.1.35 created 1961
36,1,1,1,36,Acetoacetyl-CoA reductase,(R)-3-hydroxyacyl-CoA:NADP(+) oxidoreductase,NULL,(R)-3-hydroxyacyl-CoA + NADP(+) = 3-oxoacyl-CoA + NADPH.,EC 1.1.1.36 created 1961
37,1,1,1,37,Malate dehydrogenase,(S)-malate:NAD(+) oxidoreductase,NULL,(S)-malate + NAD(+) = oxaloacetate + NADH.,EC 1.1.1.37 created 1961
38,1,1,1,38,Malate dehydrogenase (oxaloacetate-decarboxylating),(S)-malate:NAD(+) oxidoreductase (oxaloacetate-decarboxylating),NULL,(1) (S)-malate + NAD(+) = pyruvate + CO(2) + NADH.(2) Oxaloacetate = pyruvate + CO(2).,EC 1.1.1.38 created 1961
39,1,1,1,39,Malate dehydrogenase (decarboxylating),(S)-malate:NAD(+) oxidoreductase (decarboxylating),NULL,(S)-malate + NAD(+) = pyruvate + CO(2) + NADH.,EC 1.1.1.39 created 1961
40,1,1,1,40,Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),(S)-malate:NADP(+) oxidoreductase (oxaloacetate-decarboxylating),NULL,(1) (S)-malate + NADP(+) = pyruvate + CO(2) + NADPH.(2) Oxaloacetate = pyruvate + CO(2).,"EC 1.1.1.40 created 1961, modified 1976"
41,1,1,1,41,Isocitrate dehydrogenase (NAD(+)),Isocitrate:NAD(+) oxidoreductase (decarboxylating),Manganese or magnesium.,Isocitrate + NAD(+) = 2-oxoglutarate + CO(2) + NADH.,"EC 1.1.1.41 created 1961, modified 2005"
42,1,1,1,42,Isocitrate dehydrogenase (NADP(+)),Isocitrate:NADP(+) oxidoreductase (decarboxylating),Manganese or magnesium.,Isocitrate + NADP(+) = 2-oxoglutarate + CO(2) + NADPH.,"EC 1.1.1.42 created 1961, modified 2005"
43,1,1,1,43,Phosphogluconate 2-dehydrogenase,6-phospho-D-gluconate:NAD(P)(+) 2-oxidoreductase,NULL,6-phospho-D-gluconate + NAD(P)(+) = 6-phospho-2-dehydro-D-gluconate +NAD(P)H.,EC 1.1.1.43 created 1961
44,1,1,1,44,"Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)",6-phospho-D-gluconate:NADP(+) 2-oxidoreductase (decarboxylating),NULL,6-phospho-D-gluconate + NADP(+) = D-ribulose 5-phosphate + CO(2) + NADPH.,"EC 1.1.1.44 created 1961, modified 2013"
45,1,1,1,45,L-gulonate 3-dehydrogenase,L-gulonate:NAD(+) 3-oxidoreductase,NULL,L-gulonate + NAD(+) = 3-dehydro-L-gulonate + NADH.,EC 1.1.1.45 created 1961
46,1,1,1,46,L-arabinose 1-dehydrogenase,L-arabinose:NAD(+) 1-oxidoreductase,NULL,"L-arabinose + NAD(+) = L-arabinono-1,4-lactone + NADH.",EC 1.1.1.46 created 1961
47,1,1,1,47,Glucose 1-dehydrogenase (NAD(P)(+)),D-glucose:NAD(P)(+) 1-oxidoreductase,NULL,"Beta-D-glucose + NAD(P)(+) = D-glucono-1,5-lactone + NAD(P)H.","EC 1.1.1.47 created 1961, modified 2013"
48,1,1,1,48,D-galactose 1-dehydrogenase,D-galactose:NAD(+) 1-oxidoreductase,NULL,"D-galactose + NAD(+) = D-galactono-1,4-lactone + NADH.","EC 1.1.1.48 created 1961,modified 2011"
49,1,1,1,49,Glucose-6-phosphate dehydrogenase (NADP(+)),D-glucose-6-phosphate:NADP(+) 1-oxidoreductase,NULL,"D-glucose 6-phosphate + NADP(+) = 6-phospho-D-glucono-1,5-lactone +NADPH.","EC 1.1.1.49 created 1961, modified 2013"
50,1,1,1,50,3-alpha-hydroxysteroid 3-dehydrogenase (Si-specific),3-alpha-hydroxysteroid:NAD(P)(+) 3-oxidoreductase (Si-specific),NULL,A 3-alpha-hydroxysteroid + NAD(P)(+) = a 3-oxosteroid + NAD(P)H.,"EC 1.1.1.50 created 1961, modified 1986, modified 1990, modified 2012, modified 2013"
51,1,1,1,51,3(or 17)-beta-hydroxysteroid dehydrogenase,3(or 17)-beta-hydroxysteroid:NAD(P)(+) oxidoreductase,NULL,"Testosterone + NAD(P)(+) = androst-4-ene-3,17-dione + NAD(P)H.",EC 1.1.1.51 created 1961
52,1,1,1,52,3-alpha-hydroxycholanate dehydrogenase,Lithocholate:NAD(+) oxidoreductase,NULL,Lithocholate + NAD(+) = 3-oxo-5-beta-cholan-24-oate + NADH.,"EC 1.1.1.52 created 1961, modified 1976"
53,1,1,1,53,3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase,3-alpha-(or 20-beta)-hydroxysteroid:NAD(+) oxidoreductase,NULL,"Androstan-3-alpha,17-beta-diol + NAD(+) = 17-beta-hydroxyandrostan-3-one+ NADH.","EC 1.1.1.53 created 1961, modified 1986"
54,1,1,1,54,Allyl-alcohol dehydrogenase,Allyl-alcohol:NADP(+) oxidoreductase,NULL,Allyl alcohol + NADP(+) = acrolein + NADPH.,EC 1.1.1.54 created 1965
55,1,1,1,55,Lactaldehyde reductase (NADPH),"Propane-1,2-diol:NADP(+) oxidoreductase",NULL,"Propane-1,2-diol + NADP(+) = L-lactaldehyde + NADPH.",EC 1.1.1.55 created 1965
56,1,1,1,56,Ribitol 2-dehydrogenase,Ribitol:NAD(+) 2-oxidoreductase,NULL,Ribitol + NAD(+) = D-ribulose + NADH.,EC 1.1.1.56 created 1965
57,1,1,1,57,Fructuronate reductase,D-mannonate:NAD(+) 5-oxidoreductase,NULL,D-mannonate + NAD(+) = D-fructuronate + NADH.,EC 1.1.1.57 created 1965
58,1,1,1,58,Tagaturonate reductase,D-altronate:NAD(+) 3-oxidoreductase,NULL,D-altronate + NAD(+) = D-tagaturonate + NADH.,EC 1.1.1.58 created 1965
59,1,1,1,59,3-hydroxypropionate dehydrogenase,3-hydroxypropanoate:NAD(+) oxidoreductase,NULL,3-hydroxypropanoate + NAD(+) = 3-oxopropanoate + NADH.,EC 1.1.1.59 created 1965
60,1,1,1,60,2-hydroxy-3-oxopropionate reductase,D-glycerate:NAD(P)(+) oxidoreductase,NULL,D-glycerate + NAD(P)(+) = 2-hydroxy-3-oxopropanoate + NAD(P)H.,EC 1.1.1.60 created 1965
61,1,1,1,61,4-hydroxybutyrate dehydrogenase,4-hydroxybutanoate:NAD(+) oxidoreductase,NULL,4-hydroxybutanoate + NAD(+) = succinate semialdehyde + NADH.,EC 1.1.1.61 created 1965
62,1,1,1,62,17-beta-estradiol 17-dehydrogenase,17-beta-estradiol:NAD(P)(+) 17-oxidoreductase,NULL,17-beta-estradiol + NAD(P)(+) = estrone + NAD(P)H.,"EC 1.1.1.62 created 1965, modified 1983, modified 1986, modified 2012"
63,1,1,1,63,NULL,NULL,NULL,NULL,EC 1.1.1.63 created 1965
64,1,1,1,64,Testosterone 17-beta-dehydrogenase (NADP(+)),17-beta-hydroxysteroid:NADP(+) 17-oxidoreductase,NULL,"Testosterone + NADP(+) = androst-4-ene-3,17-dione + NADPH.",EC 1.1.1.64 created 1965
65,1,1,1,65,Pyridoxine 4-dehydrogenase,Pyridoxine:NADP(+) 4-oxidoreductase,NULL,Pyridoxine + NADP(+) = pyridoxal + NADPH.,"EC 1.1.1.65 created 1965, modified 1976"
66,1,1,1,66,Omega-hydroxydecanoate dehydrogenase,10-hydroxydecanoate:NAD(+) 10-oxidoreductase,NULL,10-hydroxydecanoate + NAD(+) = 10-oxodecanoate + NADH.,EC 1.1.1.66 created 1965
67,1,1,1,67,Mannitol 2-dehydrogenase,D-mannitol:NAD(+) 2-oxidoreductase,NULL,D-mannitol + NAD(+) = D-fructose + NADH.,EC 1.1.1.67 created 1965
68,1,1,1,68,NULL,NULL,NULL,NULL,"EC 1.1.1.68 created 1965, deleted 1978 (transferred to EC 1.1.99.15, deleted 1980)"
69,1,1,1,69,Gluconate 5-dehydrogenase,D-gluconate:NAD(P)(+) 5-oxidoreductase,NULL,D-gluconate + NAD(P)(+) = 5-dehydro-D-gluconate + NAD(P)H.,"EC 1.1.1.69 created 1965, modified 1976"
70,1,1,1,70,NULL,NULL,NULL,NULL,"EC 1.1.1.70 created 1965, deleted 1978"
71,1,1,1,71,Alcohol dehydrogenase (NAD(P)(+)),Alcohol:NAD(P)(+) oxidoreductase,NULL,An alcohol + NAD(P)(+) = an aldehyde + NAD(P)H.,EC 1.1.1.71 created 1972
72,1,1,1,72,Glycerol dehydrogenase (NADP(+)),Glycerol:NADP(+) oxidoreductase,NULL,Glycerol + NADP(+) = D-glyceraldehyde + NADPH.,EC 1.1.1.72 created 1972
73,1,1,1,73,Octanol dehydrogenase,Octanol:NAD(+) oxidoreductase,NULL,1-octanol + NAD(+) = 1-octanal + NADH.,EC 1.1.1.73 created 1972
74,1,1,1,74,NULL,NULL,NULL,NULL,NULL
75,1,1,1,75,(R)-aminopropanol dehydrogenase,(R)-1-aminopropan-2-ol:NAD(+) oxidoreductase,Potassium.,(R)-1-aminopropan-2-ol + NAD(+) = aminoacetone + NADH.,EC 1.1.1.75 created 1972
76,1,1,1,76,"(S,S)-butanediol dehydrogenase","(S,S)-butane-2,3-diol:NAD(+) oxidoreductase",NULL,"(2S,3S)-butane-2,3-diol + NAD(+) = (S)-acetoin + NADH.","EC 1.1.1.76 created 1972, modified 2010"
77,1,1,1,77,Lactaldehyde reductase,"(R)(or (S))-propane-1,2-diol:NAD(+) oxidoreductase",NULL,"(1) (R)-propane-1,2-diol + NAD(+) = (R)-lactaldehyde + NADH.(2) (S)-propane-1,2-diol + NAD(+) = (S)-lactaldehyde + NADH.",EC 1.1.1.77 created 1972
78,1,1,1,78,Methylglyoxal reductase (NADH),(R)-lactaldehyde:NAD(+) oxidoreductase,NULL,(R)-lactaldehyde + NAD(+) = methylglyoxal + NADH.,"EC 1.1.1.78 created 1972, modified 2005, modified 2013"
79,1,1,1,79,Glyoxylate reductase (NADP(+)),Glycolate:NADP(+) oxidoreductase,NULL,Glycolate + NADP(+) = glyoxylate + NADPH.,EC 1.1.1.79 created 1972
80,1,1,1,80,Isopropanol dehydrogenase (NADP(+)),Propan-2-ol:NADP(+) oxidoreductase,NULL,Propan-2-ol + NADP(+) = acetone + NADPH.,EC 1.1.1.80 created 1972
81,1,1,1,81,Hydroxypyruvate reductase,D-glycerate:NADP(+) 2-oxidoreductase,NULL,D-glycerate + NAD(P)(+) = hydroxypyruvate + NAD(P)H.,EC 1.1.1.81 created 1972
82,1,1,1,82,Malate dehydrogenase (NADP(+)),(S)-malate:NADP(+) oxidoreductase,NULL,(S)-malate + NADP(+) = oxaloacetate + NADPH.,EC 1.1.1.82 created 1972
83,1,1,1,83,D-malate dehydrogenase (decarboxylating),(R)-malate:NAD(+) oxidoreductase (decarboxylating),NULL,(R)-malate + NAD(+) = pyruvate + CO(2) + NADH.,EC 1.1.1.83 created 1972
84,1,1,1,84,Dimethylmalate dehydrogenase,"(R)-3,3-dimethylmalate:NAD(+) oxidoreductase (decarboxylating)",Cobalt or manganese; Potassium or NH(4)(+).,"(R)-3,3-dimethylmalate + NAD(+) = 3-methyl-2-oxobutanoate + CO(2) + NADH.",EC 1.1.1.84 created 1972
85,1,1,1,85,3-isopropylmalate dehydrogenase,"(2R,3S)-3-isopropylmalate:NAD(+) oxidoreductase",NULL,"(2R,3S)-3-isopropylmalate + NAD(+) = 4-methyl-2-oxopentanoate + CO(2) +NADH.","EC 1.1.1.85 created 1972, modified 1976"
86,1,1,1,86,Ketol-acid reductoisomerase,"(R)-2,3-dihydroxy-3-methylbutanoate:NADP(+) oxidoreductase (isomerizing)",NULL,"(1) (R)-2,3-dihydroxy-3-methylbutanoate + NADP(+) = (S)-2-hydroxy-2-methyl-3-oxobutanoate + NADPH.(2) (2R,3R)-2,3-dihydroxy-3-methylpentanoate + NADP(+) = (S)-2-hydroxy-2-ethyl-3-oxobutanoate + NADPH.","EC 1.1.1.86 created 1972, modified 1976, modified 1981 (EC 1.1.1.89 created 1972, incorporated 1976)"
87,1,1,1,87,Homoisocitrate dehydrogenase,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate:NAD(+) oxidoreductase (decarboxylating)",NULL,"(1R,2S)-1-hydroxybutane-1,2,4-tricarboxylate + NAD(+) = 2-oxoadipate +CO(2) + NADH.","EC 1.1.1.87 created 1972 (EC 1.1.1.155 created 1976, incorporated 2004)"
88,1,1,1,88,Hydroxymethylglutaryl-CoA reductase,(R)-mevalonate:NAD(+) oxidoreductase (CoA-acylating),NULL,(R)-mevalonate + CoA + 2 NAD(+) = 3-hydroxy-3-methylglutaryl-CoA +2 NADH.,"EC 1.1.1.88 created 1972, modified 2002"
89,1,1,1,89,NULL,NULL,NULL,NULL,"EC 1.1.1.89 created 1972, deleted 1976"
90,1,1,1,90,Aryl-alcohol dehydrogenase,Aryl-alcohol:NAD(+) oxidoreductase,NULL,An aromatic alcohol + NAD(+) = an aromatic aldehyde + NADH.,"EC 1.1.1.90 created 1972, modified 1989"
91,1,1,1,91,Aryl-alcohol dehydrogenase (NADP(+)),Aryl-alcohol:NADP(+) oxidoreductase,NULL,An aromatic alcohol + NADP(+) = an aromatic aldehyde + NADPH.,EC 1.1.1.91 created 1972
92,1,1,1,92,Oxaloglycolate reductase (decarboxylating),D-glycerate:NAD(P)(+) oxidoreductase (carboxylating),NULL,D-glycerate + NAD(P)(+) + CO(2) = 2-hydroxy-3-oxosuccinate + NAD(P)H.,EC 1.1.1.92 created 1972
93,1,1,1,93,Tartrate dehydrogenase,Tartrate:NAD(+) oxidoreductase,Manganese; Monovalent cation.,"(1) Tartrate + NAD(+) = oxaloglycolate + NADH.(2) Meso-tartrate + NAD(+) = oxaloglycolate + NADH.(3) (R,R)-tartrate + NAD(+) = oxaloglycolate + NADH.",EC 1.1.1.93 created 1972
94,1,1,1,94,Glycerol-3-phosphate dehydrogenase (NAD(P)(+)),sn-glycerol-3-phosphate:NAD(P)(+) 2-oxidoreductase,NULL,sn-glycerol 3-phosphate + NAD(P)(+) = glycerone phosphate + NAD(P)H.,"EC 1.1.1.94 created 1972, modified 2005"
95,1,1,1,95,Phosphoglycerate dehydrogenase,3-phospho-D-glycerate:NAD(+) 2-oxidoreductase,NULL,(1) 3-phospho-D-glycerate + NAD(+) = 3-phosphonooxypyruvate + NADH.(2) 2-hydroxyglutarate + NAD(+) = 2-oxoglutarate + NADH.,"EC 1.1.1.95 created 1972, modified 2006"
96,1,1,1,96,Diiodophenylpyruvate reductase,"3-(3,5-diiodo-4-hydroxyphenyl)lactate:NAD(+) oxidoreductase",NULL,"3-(3,5-diiodo-4-hydroxyphenyl)lactate + NAD(+) = 3-(3,5-diiodo-4-hydroxyphenyl)pyruvate + NADH.",EC 1.1.1.96 created 1972
97,1,1,1,97,3-hydroxybenzyl-alcohol dehydrogenase,3-hydroxybenzyl-alcohol:NADP(+) oxidoreductase,NULL,3-hydroxybenzyl alcohol + NADP(+) = 3-hydroxybenzaldehyde + NADPH.,EC 1.1.1.97 created 1972
98,1,1,1,98,(R)-2-hydroxy-fatty-acid dehydrogenase,(R)-2-hydroxystearate:NAD(+) oxidoreductase,NULL,(R)-2-hydroxystearate + NAD(+) = 2-oxostearate + NADH.,EC 1.1.1.98 created 1972
99,1,1,1,99,(S)-2-hydroxy-fatty-acid dehydrogenase,(S)-2-hydroxystearate:NAD(+) oxidoreductase,NULL,(S)-2-hydroxystearate + NAD(+) = 2-oxostearate + NADH.,EC 1.1.1.99 created 1972
100,1,1,1,100,3-oxoacyl-[acyl-carrier-protein] reductase,(3R)-3-hydroxyacyl-[acyl-carrier-protein]:NADP(+) oxidoreductase,NULL,(3R)-3-hydroxyacyl-[acyl-carrier-protein] + NADP(+) = 3-oxoacyl-[acyl-carrier-protein] + NADPH.,"EC 1.1.1.100 created 1972, modified 1976"
101,1,1,1,101,Acylglycerone-phosphate reductase,1-palmitoylglycerol-3-phosphate:NADP(+) oxidoreductase,NULL,1-palmitoylglycerol 3-phosphate + NADP(+) = palmitoylglycerone phosphate+ NADPH.,"EC 1.1.1.101 created 1972, modified 1976"
102,1,1,1,102,3-dehydrosphinganine reductase,D-erythro-dihydrosphingosine:NADP(+) 3-oxidoreductase,NULL,Sphinganine + NADP(+) = 3-dehydrosphinganine + NADPH.,EC 1.1.1.102 created 1972
103,1,1,1,103,L-threonine 3-dehydrogenase,L-threonine:NAD(+) oxidoreductase,NULL,L-threonine + NAD(+) = L-2-amino-3-oxobutanoate + NADH.,EC 1.1.1.103 created 1972
104,1,1,1,104,4-oxoproline reductase,4-hydroxy-L-proline:NAD(+) oxidoreductase,NULL,4-hydroxy-L-proline + NAD(+) = 4-oxoproline + NADH.,EC 1.1.1.104 created 1972
105,1,1,1,105,All-trans-retinol dehydrogenase (NAD(+)),All-trans retinol:NAD(+) oxidoreductase,NULL,All-trans-retinol-[cellular-retinol-binding-protein] + NAD(+) = all-trans-retinal-[cellular-retinol-binding-protein] + NADH.,"EC 1.1.1.105 created 1972, modified 2011"
106,1,1,1,106,Pantoate 4-dehydrogenase,(R)-pantoate:NAD(+) 4-oxidoreductase,NULL,(R)-pantoate + NAD(+) = (R)-4-dehydropantoate + NADH.,"EC 1.1.1.106 created 1972, modified 1976"
107,1,1,1,107,Pyridoxal 4-dehydrogenase,Pyridoxal:NAD(+) 4-oxidoreductase,NULL,Pyridoxal + NAD(+) = 4-pyridoxolactone + NADH.,EC 1.1.1.107 created 1972
108,1,1,1,108,Carnitine 3-dehydrogenase,Carnitine:NAD(+) 3-oxidoreductase,NULL,Carnitine + NAD(+) = 3-dehydrocarnitine + NADH.,EC 1.1.1.108 created 1972
109,1,1,1,109,NULL,NULL,NULL,NULL,"EC 1.1.1.109 created 1972, deleted 1976"
110,1,1,1,110,Indolelactate dehydrogenase,(Indol-3-yl)lactate:NAD(+) oxidoreductase,NULL,(Indol-3-yl)lactate + NAD(+) = (indol-3-yl)pyruvate + NADH.,EC 1.1.1.110 created 1972
111,1,1,1,111,3-(imidazol-5-yl)lactate dehydrogenase,(S)-3-(imidazol-5-yl)lactate:NAD(P)(+) oxidoreductase,NULL,(S)-3-(imidazol-5-yl)lactate + NAD(P)(+) = 3-(imidazol-5-yl)pyruvate +NAD(P)H.,EC 1.1.1.111 created 1972
112,1,1,1,112,Indanol dehydrogenase,Indan-1-ol:NAD(P)(+) 1-oxidoreductase,NULL,Indan-1-ol + NAD(P)(+) = indanone + NAD(P)H.,EC 1.1.1.112 created 1972
113,1,1,1,113,L-xylose 1-dehydrogenase,L-xylose:NADP(+) 1-oxidoreductase,NULL,"L-xylose + NADP(+) = L-xylono-1,4-lactone + NADPH.",EC 1.1.1.113 created 1972
114,1,1,1,114,Apiose 1-reductase,D-apiitol:NAD(+) 1-oxidoreductase,NULL,D-apiitol + NAD(+) = D-apiose + NADH.,EC 1.1.1.114 created 1972
115,1,1,1,115,Ribose 1-dehydrogenase (NADP(+)),D-ribose:NADP(+) 1-oxidoreductase,NULL,D-ribose + NADP(+) + H(2)O = D-ribonate + NADPH.,EC 1.1.1.115 created 1972
116,1,1,1,116,D-arabinose 1-dehydrogenase (NAD(+)),D-arabinose:NAD(+) 1-oxidoreductase,NULL,"D-arabinose + NAD(+) = D-arabinono-1,4-lactone + NADH.",EC 1.1.1.116 created 1972
117,1,1,1,117,D-arabinose 1-dehydrogenase (NAD(P)(+)),D-arabinose:NAD(P)(+) 1-oxidoreductase,NULL,"D-arabinose + NAD(P)(+) = D-arabinono-1,4-lactone + NAD(P)H.",EC 1.1.1.117 created 1972
118,1,1,1,118,Glucose 1-dehydrogenase (NAD(+)),D-glucose:NAD(+) 1-oxidoreductase,NULL,"D-glucose + NAD(+) = D-glucono-1,5-lactone + NADH.","EC 1.1.1.118 created 1972, modified 1976"
119,1,1,1,119,Glucose 1-dehydrogenase (NADP(+)),D-glucose:NADP(+) 1-oxidoreductase,NULL,"D-glucose + NADP(+) = D-glucono-1,5-lactone + NADPH.",EC 1.1.1.119 created 1972
120,1,1,1,120,Galactose 1-dehydrogenase (NADP(+)),D-galactose:NADP(+) 1-oxidoreductase,NULL,"D-galactose + NADP(+) = D-galactono-1,5-lactone + NADPH.",EC 1.1.1.120 created 1972
