id_com,comment,id_enz
78,"This enzyme has similar activity with either NAD(+) or NADP(+). cf. EC 1.1.1.118, glucose 1-dehydrogenase (NAD(+)) and EC 1.1.1.119, glucose 1-dehydrogenase (NADP(+)).",47
79,This enzyme has similar activity with either NAD(+) or NADP(+). Cf. EC 1.1.1.118 and EC 1.1.1.119.,47
80,This enzyme has similar activity with either NAD(+) or NADP(+).Cf. EC 1.1.1.118 and EC 1.1.1.119.,47
81,"This enzyme is part of the De Ley-Doudoroff pathway, which is used by some bacteria during growth on D-galactose.",48
82,"This enzyme is part of the De Ley-Doudoroff pathway, which is used bysome bacteria during growth on D-galactose.",48
83,"The enzyme catalyzes a step of the pentose phosphate pathway. The enzyme is specific for NADP(+). cf. EC 1.1.1.363, glucose-6-phosphate dehydrogenase (NAD(P)(+)).",49
84,"The enzyme catalyzes a step of the pentose phosphate pathway. The enzyme is specific for NADP(+), cf. EC 1.1.1.363.",49
85,"The enzyme catalyzes a step of the pentose phosphate pathway.The enzyme is specific for NADP(+), cf. EC 1.1.1.363.",49
86,"The enzyme acts on androsterone and other 3-alpha-hydroxysteroids and on 9-, 11- and 15-hydroxyprostaglandin. Si-specific with respect to NAD(+) or NADP(+). cf. EC 1.1.1.213, 3-alpha-hydroxysteroid 3-dehydrogenase (Re-specific).",50
87,"The enzyme acts on androsterone and other 3-alpha-hydroxysteroids and on 9-, 11- and 15-hydroxyprostaglandin. Si-specific with respect to NAD(+) or NADP(+) (cf. EC 1.1.1.213).",50
88,"The enzyme acts on androsterone and other 3-alpha-hydroxysteroids andon 9-, 11- and 15-hydroxyprostaglandin.Si-specific with respect to NAD(+) or NADP(+) (cf. EC 1.1.1.213).",50
89,Also acts on other 3-beta- or 17-beta-hydroxysteroids. cf. EC 1.1.1.209 3(or 17)-alpha-hydroxysteroid dehydrogenase.,51
90,Also acts on other 3-beta- or 17-beta-hydroxysteroids (cf. EC 1.1.1.209).,51
91,Also acts on other 3-beta- or 17-beta-hydroxysteroids (cf.EC 1.1.1.209).,51
92,Also acts on other 3-alpha-hydroxysteroids with an acidic side-chain.,52
93,Also acts on other 3-alpha-hydroxysteroids with an acidic side-chain.,52
94,The 3-alpha-hydroxy group or 20-beta-hydroxy group of pregnane and androstane steroids can act as donor.,53
95,The 3-alpha-hydroxy group or 20-beta-hydroxy group of pregnane andandrostane steroids can act as donor.,53
96,Also acts on saturated primary alcohols.,54
97,Also acts on saturated primary alcohols.,54
98,May be identical with EC 1.1.1.2 alcohol dehydrogenase (NADP(+)).,55
99,May be identical with EC 1.1.1.2.,55
100,May be identical with EC 1.1.1.2.,55
101,Also reduces D-tagaturonate.,57
102,Also reduces D-tagaturonate.,57
103,"The enzyme oxidizes or reduces the hydroxy/keto group on C(17) of estrogens and androgens in mammals and regulates the biological potency of these steroids. The mammalian enzyme is bifunctional and also catalyzes EC 1.1.1.270, 3-beta-hydroxysteroid 3-dehydrogenase (3). The enzyme also acts on (S)-20-hydroxypregn-4-en-3-one and related compounds, oxidizing the (S)-20-group, but unlike EC 1.1.1.149, 20-alpha-hydroxysteroid dehydrogenase, it is Si-specific with respect to NAD(P)(+).",62
104,"The enzyme oxidizes or reduces the hydroxy/keto group on C(17) of estrogens and androgens in mammals and regulates the biological potency of these steroids. The mammalian enzyme is bifunctional and also catalyzes EC 1.1.1.270. The enzyme also acts on (S)-20-hydroxypregn-4-en-3-one and related compounds, oxidizing the (S)-20-group, but unlike EC 1.1.1.149, it is Si-specific with respect to NAD(P)(+).",62
105,"The enzyme oxidizes or reduces the hydroxy/keto group on C(17) ofestrogens and androgens in mammals and regulates the biologicalpotency of these steroids.The mammalian enzyme is bifunctional and also catalyzes EC 1.1.1.270.The enzyme also acts on (S)-20-hydroxypregn-4-en-3-one and relatedcompounds, oxidizing the (S)-20-group, but unlike EC 1.1.1.149, it isSi-specific with respect to NAD(P)(+).",62
106,Also oxidizes 3-hydroxyhexobarbital to 3-oxohexobarbital.,64
107,Also oxidizes 3-hydroxyhexobarbital to 3-oxohexobarbital.,64
108,Also oxidizes pyridoxine phosphate.,65
109,Also oxidizes pyridoxine phosphate.,65
110,"Also acts, more slowly, on 9-hydroxynonanoate and 11-hydroxyundecanoate.",66
111,"Also acts, more slowly, on 9-hydroxynonanoate and11-hydroxyundecanoate.",66
112,"Reduces aliphatic aldehydes of carbon chain length from 2 to 14, with greatest activity on C4, C6 and C8 aldehydes; also reduces retinal to retinol.",71
113,"Reduces aliphatic aldehydes of chain length from C2 to C14, with greatest activity on C4, C6 and C8 aldehydes. Also reduces retinal to retinol.",71
114,"Reduces aliphatic aldehydes of chain length from C2 to C14, withgreatest activity on C4, C6 and C8 aldehydes.Also reduces retinal to retinol.",71
115,"Acts, less rapidly, on other long-chain alcohols.",73
116,"Acts, less rapidly, on other long-chain alcohols.",73
117,Requires K(+).,75
118,"This enzyme catalyzes the reversible reduction of (S)-acetoin to (S,S)-butane-2,3-diol. It can also catalyze the irreversible reduction of diacetyl to (S)-acetoin.",76
119,"This enzyme catalyzes the reversible reduction of (S)-acetoin to(S,S)-butane-2,3-diol.It can also catalyze the irreversible reduction of diacetyl to (S)-acetoin.",76
120,"This mammalian enzyme differs from the yeast enzyme, EC 1.1.1.283, methylglyoxal reductase (NADPH-dependent), in preferring NADH over NADPH as reductant.",78
121,"This mammalian enzyme differs from the yeast enzyme, EC 1.1.1.283, in preferring NADH over NADPH as reductant.",78
122,"This mammalian enzyme differs from the yeast enzyme, EC 1.1.1.283,in preferring NADH over NADPH as reductant.",78
123,Also reduces hydroxypyruvate to glycerate; has some affinity for NAD(+).,79
124,Also reduces hydroxypyruvate to glycerate. Has some affinity for NAD(+).,79
125,Also reduces hydroxypyruvate to glycerate.Has some affinity for NAD(+).,79
126,"Also acts on other short-chain secondary alcohols and, slowly, on primary alcohols.",80
127,"Also acts on other short-chain secondary alcohols and, slowly,on primary alcohols.",80
128,Activated by light.,82
129,Activated by light.,82
130,Requires K(+) or NH(4)(+) and Mn(2+) or Co(2+); also acts on (R)-malate.,84
131,Also acts on (R)-malate.,84
132,Also acts on (R)-malate.,84
133,The product decarboxylates spontaneously to yield 4-methyl-2-oxopentanoate.,85
134,"Also catalyzes the reduction of 2-aceto-2-hydroxybutanoate to 2,3-dihydroxy-3-methylpentanoate.",86
135,Formerly EC 1.1.1.89.,86
136,Formerly EC 1.1.1.89.,86
137,Forms part of the lysine biosynthesis pathway in fungi (3).,87
138,Forms part of the lysine biosynthesis pathway in fungi. Formerly EC 1.1.1.155.,87
139,Forms part of the lysine biosynthesis pathway in fungi.Formerly EC 1.1.1.155.,87
140,"A group of enzymes with broad specificity toward primary alcohols with an aromatic or cyclohex-1-ene ring, but with low or no activity toward short-chain aliphatic alcohols.",90
141,"A group of enzymes with broad specificity toward primary alcoholswith an aromatic or cyclohex-1-ene ring, but with low or no activitytoward short-chain aliphatic alcohols.",90
142,"Also acts on some aliphatic aldehydes, but cinnamaldehyde was the best substrate found.",91
143,"Also acts on some aliphatic aldehydes, but cinnamaldehyde was thebest substrate found.",91
144,Also reduces hydroxypyruvate to D-glycerate and glyoxylate to glycolate.,92
145,Also reduces hydroxypyruvate to D-glycerate and glyoxylate toglycolate.,92
146,"Meso-Tartrate and (R,R)-tartrate act as substrates. Requires Mn(2+) and a monovalent cation.",93
147,The enzyme from Escherichia coli shows specificity for the B side of NADPH.,94
148,The enzyme from Escherichia coli shows specificity for the B side ofNADPH.,94
149,"This enzyme catalyzes the first committed step in the phosphoserine pathway of serine biosynthesis in Escherichia coli (2,3). Reaction (1) occurs predominantly in the reverse direction and is inhibited by serine and glycine. The enzyme is unusual in that it also acts as a D- and L-2-hydroxyglutarate dehydrogenase (with the D-form being the better substrate) and as a 2-oxoglutarate reductase (3). It has been postulated (3) that the cellular 2-oxoglutarate concentration may regulate serine biosynthesis and one-carbon metabolism directly by modulating the activity of this enzyme.",95
150,Catalyzes the first committed step in the phosphoserine pathway of serine biosynthesis in Escherichia coli. Reaction (1) occurs predominantly in the reverse direction and is inhibited by serine and glycine. The enzyme is unusual in that it also acts as a D- and L-2-hydroxyglutarate dehydrogenase (with the D-form being the better substrate) and as a 2-oxoglutarate reductase.,95
151,Catalyzes the first committed step in the phosphoserine pathway ofserine biosynthesis in Escherichia coli.Reaction (1) occurs predominantly in the reverse direction and isinhibited by serine and glycine.The enzyme is unusual in that it also acts as a D- and L-2-hydroxyglutarate dehydrogenase (with the D-form being the bettersubstrate) and as a 2-oxoglutarate reductase.,95
152,Substrates contain an aromatic ring with a pyruvate side chain. The most active substrates are halogenated derivatives. Compounds with hydroxy or amino groups in the 3 or 5 position are inactive.,96
153,Substrates contain an aromatic ring with a pyruvate side chain.The most active substrates are halogenated derivatives.Compounds with hydroxy or amino groups in the 3 or 5 position areinactive.,96
154,Exhibits a marked preference for [acyl-carrier-protein] derivatives over CoA derivatives as substrates.,100
155,Exhibits a marked preference for [acyl-carrier-protein] derivativesover CoA derivatives as substrates.,100
156,Also acts on alkylglycerone 3-phosphate and alkylglycerol 3-phosphate.,101
157,Also acts on alkylglycerone 3-phosphate and alkylglycerol3-phosphate.,101
158,"This enzyme acts in concert with EC 2.3.1.29, glycine C-acetyltransferase, in the degradation of threonine to glycine. This threonine-degradation pathway is common to prokaryotic and eukaryotic cells and the two enzymes involved form a complex (2). In aqueous solution, the product L-2-amino-3-oxobutanoate can spontaneously decarboxylate to form aminoacetone.",103
159,"Acts in concert with EC 2.3.1.29 in the degradation of threonine to glycine. This threonine-degradation pathway is common to prokaryotic and eukaryotic cells and the two enzymes involved form a complex. In aqueous solution, the product L-2-amino-3-oxobutanoate can spontaneously decarboxylate to form aminoacetone.",103
160,"Acts in concert with EC 2.3.1.29 in the degradation of threonine toglycine.This threonine-degradation pathway is common to prokaryotic andeukaryotic cells and the two enzymes involved form a complex.In aqueous solution, the product L-2-amino-3-oxobutanoate canspontaneously decarboxylate to form aminoacetone.",103
161,"The enzyme recognizes all-trans-retinol and all-trans-retinal as substrates and exhibits a strong preference for NAD(+)/NADH as cofactors. Recognizes the substrate both in free form and when bound to cellular-retinol-binding-protein (CRBP1), but has higher affinity for the bound form (2). No activity with 11-cis-retinol or 11-cis-retinal (cf. EC 1.1.1.315, 11-cis retinol dehydrogenase). Also active with 3-alpha-hydroxysteroids (2).",105
162,"The enzyme recognizes all-trans-retinol and all-trans-retinal as substrates and exhibits a strong preference for NAD(+)/NADH as cofactors. Recognizes the substrate both in free form and when bound to cellular-retinol-binding-protein (CRBP1), but has higher affinity for the bound form. No activity with 11-cis-retinol or 11-cis-retinal (cf. EC 1.1.1.315). Also active with 3-alpha-hydroxysteroids.",105
163,"The enzyme recognizes all-trans-retinol and all-trans-retinal assubstrates and exhibits a strong preference for NAD(+)/NADH ascofactors.Recognizes the substrate both in free form and when bound tocellular-retinol-binding-protein (CRBP1), but has higher affinity forthe bound form.No activity with 11-cis-retinol or 11-cis-retinal (cf. EC 1.1.1.315).Also active with 3-alpha-hydroxysteroids.",105
164,The enzyme acts on the hemiacetal form of the substrate.,107
165,The enzyme acts on the hemiacetal form of the substrate.,107
166,"3(20)-alpha-hydroxysteroids are also oxidized, more slowly.",112
167,"3(20)-alpha-hydroxysteroids are also oxidized, more slowly.",112
168,Also oxidizes D-arabinose and D-lyxose.,113
169,Also oxidizes D-arabinose and D-lyxose.,113
170,"Also acts, more slowly, on D-xylose and other pentoses.",115
171,"Also acts, more slowly, on D-xylose and other pentoses.",115
172,"Also acts on L-galactose, 6-deoxy- and 3,6-dideoxy-L-galactose.",117
173,"Also acts on L-galactose, 6-deoxy- and 3,6-dideoxy-L-galactose.",117
174,"Also oxidizes D-mannose, 2-deoxy-D-glucose and 2-amino-2-deoxy-D-mannose.",119
175,"Also oxidizes D-mannose, 2-deoxy-D-glucose and 2-amino-2-deoxy-D-mannose.",119
176,"Also acts on L-arabinose, 6-deoxy- and 2-deoxy-D-galactose.",120
177,"Also acts on L-arabinose, 6-deoxy- and 2-deoxy-D-galactose.",120
178,"Acts on D-glucose, 2-deoxy- and 6-deoxy-D-glucose, D-galactose, 6-deoxy-D-galactose, 2-deoxy-L-arabinose and D-xylose.",121
179,"Acts on D-glucose, 2-deoxy- and 6-deoxy-D-glucose, D-galactose,6-deoxy-D-galactose, 2-deoxy-L-arabinose and D-xylose.",121
180,"Acts on L-fucose, D-arabinose and L-xylose; the animal enzyme was also shown to act on L-arabinose, and the enzyme from Pseudomonas caryophylli on L-glucose.",122
181,"Acts on L-fucose, D-arabinose and L-xylose. The animal enzyme was also shown to act on L-arabinose, and the enzyme from Pseudomonas caryophylli on L-glucose.",122
182,"Acts on L-fucose, D-arabinose and L-xylose.The animal enzyme was also shown to act on L-arabinose, and theenzyme from Pseudomonas caryophylli on L-glucose.",122
183,"The enzyme from Pseudomonas acts equally well on NAD(+) or NADP(+), while that from Erwinia chrysanthemi and E. coli is more specific for NAD(+).",127
184,"The enzyme from Pseudomonas acts equally well on NAD(+) or NADP(+), while those from Erwinia chrysanthemi and Escherichia coli are more specific for NAD(+).",127
185,"The enzyme from Pseudomonas acts equally well on NAD(+) or NADP(+),while those from Erwinia chrysanthemi and Escherichia coli are morespecific for NAD(+).",127
186,Formerly EC 1.1.1.180 and EC 1.2.1.34.,131
187,Formerly EC 1.1.1.180 and EC 1.2.1.34.,131
188,Also acts on the corresponding deoxynucleoside diphosphate derivative as a substrate.,132
189,Also uses the corresponding deoxynucleoside diphosphate derivative as a substrate.,132
190,Also uses the corresponding deoxynucleoside diphosphate derivative asa substrate.,132
191,"In the reverse direction, reduction on the 4-position of the hexose moiety takes place only while the substrate is bound to another enzyme that catalyzes epimerization at C-3 and C-5; the complex has been referred to as dTDP-L-rhamnose synthase.",133
192,"In the reverse direction, reduction on the 4-position of the hexosemoiety takes place only while the substrate is bound to anotherenzyme that catalyzes epimerization at C-3 and C-5; the complex hasbeen referred to as dTDP-L-rhamnose synthase.",133
193,Oxidation on the 4-position of the hexose moiety takes place only while the substrate is bound to another enzyme that catalyzes epimerization at C-3 and C-5.,134
194,Oxidation on the 4-position of the hexose moiety takes place onlywhile the substrate is bound to another enzyme that catalyzesepimerization at C-3 and C-5.,134
195,"This enzyme participates in the biosynthetic pathway for UDP-alpha-D-ManNAc(3)NAcA (UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronic acid), an important precursor of B-band lipopolysaccharide.",136
196,"This enzyme participates in the biosynthetic pathway for UDP-alpha-D-ManNAc(3)NAcA (UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronicacid), an important precursor of B-band lipopolysaccharide.",136
197,"Acts on prostaglandin E(2), F(2-alpha) and B(1), but not on prostaglandin D(2). cf. EC 1.1.1.196 15-hydroxyprostaglandin-D dehydrogenase (NADP(+)) and EC 1.1.1.197 15-hydroxyprostaglandin dehydrogenase (NADP(+)).",141
198,"Acts on prostaglandins E(2), F(2-alpha) and B(1), but not on prostaglandin D(2) (cf. EC 1.1.1.196 and EC 1.1.1.197).",141
199,"Acts on prostaglandins E(2), F(2-alpha) and B(1), but not onprostaglandin D(2) (cf. EC 1.1.1.196 and EC 1.1.1.197).",141
200,"Oxidizes a number of primary alcohols with the alcohol group allylic to an endocyclic double bond and a 6-membered ring, either aromatic or hydroaromatic.",144
201,"Oxidizes a number of primary alcohols with the alcohol group allylicto an endocyclic double bond and a 6-membered ring, either aromaticor hydroaromatic.",144
202,"Acts on 3-beta-hydroxyandrost-5-en-17-one to form androst-4-ene-3,17-dione and on 3-beta-hydroxypregn-5-en-20-one to form progesterone.",145
203,"Acts on 3-beta-hydroxyandrost-5-en-17-one to form androst-4-ene-3,17-dione and on 3-beta-hydroxypregn-5-en-20-one to form progesterone.",145
204,Re-specific with respect to NAD(P)(+) (cf. EC 1.1.1.62 estradiol 17-beta-dehydrogenase).,149
205,Re-specific with respect to NAD(P)(+) (cf. EC 1.1.1.62).,149
206,Re-specific with respect to NAD(P)(+) (cf. EC 1.1.1.62).,149
207,Acts on a number of 21-hydroxycorticosteroids.,150
208,Acts on a number of 21-hydroxycorticosteroids.,150
209,Acts on a number of 21-hydroxycorticosteroids.,151
210,Acts on a number of 21-hydroxycorticosteroids.,151
211,"This enzyme catalyzes the final step in the de novo synthesis of tetrahydrobiopterin from GTP. The enzyme, which is found in higher animals and some fungi and bacteria, produces the erythro form of tetrahydrobiopterin. cf. EC 1.1.1.325, sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming).",153
212,"This enzyme catalyzes the final step in the de novo synthesis of tetrahydrobiopterin from GTP. The enzyme, which is found in higher animals and some fungi and bacteria, produces the erythro form of tetrahydrobiopterin. Cf. EC 1.1.1.325.",153
213,"This enzyme catalyzes the final step in the de novo synthesis oftetrahydrobiopterin from GTP.The enzyme, which is found in higher animals and some fungi andbacteria, produces the erythro form of tetrahydrobiopterin.Cf. EC 1.1.1.325.",153
