id_syn,synonyme,id_enzyme
152,Pyridoxine dehydrogenase,65
153,Mannitol dehydrogenase,67
154,5-keto-D-gluconate 5-reductase,69
155,5-ketogluconate 5-reductase,69
156,5-ketogluconate reductase,69
157,Retinal reductase,71
158,Propanediol oxidoreductase,77
159,D-lactaldehyde dehydrogenase,78
160,Methylglyoxal reductase,78
161,Methylglyoxal reductase (NADH-dependent),78
162,D-glycerate dehydrogenase,81
163,NADP-linked malate dehydrogenase,82
164,Beta-IPM dehydrogenase,85
165,Beta-isopropylmalate dehydrogenase,85
166,IMDH,85
167,Acetohydroxy acid isomeroreductase,86
168,Alpha-keto-beta-hydroxylacyl reductoisomerase,86
169,Dihydroxyisovalerate dehydrogenase (isomerizing),86
170,"(-)-1-hydroxy-1,2,4-butanetricarboxylate:NAD(+) oxidoreductase(decarboxylating)",87
171,2-hydroxy-3-carboxyadipate dehydrogenase,87
172,3-carboxy-2-hydroxyadipate dehydrogenase,87
173,3-carboxy-2-hydroxyadipate:NAD(+) oxidoreductase (decarboxylating),87
174,Homoisocitric dehydrogenase,87
175,3-hydroxy-3-methylglutaryl-coenzyme A reductase,88
176,Beta-hydroxy-beta-methylglutaryl CoA-reductase,88
177,Beta-hydroxy-beta-methylglutaryl coenzyme A reductase,88
178,HMG-CoA reductase,88
179,Hydroxymethylglutaryl coenzyme A reductase,88
180,Benzyl alcohol dehydrogenase,90
181,p-hydroxybenzyl alcohol dehydrogenase,90
182,Mesotartrate dehydrogenase,93
183,Glycerol 3-phosphate dehydrogenase (NAD(P)),94
184,Glycerol 3-phosphate dehydrogenase (NADP),94
185,Glycerol phosphate dehydrogenase (nicotinamide adenine dinucleotide(phosphate)),94
186,L-glycerol-3-phosphate:NAD(P) oxidoreductase,94
187,3-phosphoglycerate dehydrogenase,95
188,3-phosphoglyceric acid dehydrogenase,95
189,3PHP reductase,95
190,Alpha-KG reductase,95
191,Alpha-phosphoglycerate dehydrogenase,95
192,D-3-phosphoglycerate dehydrogenase,95
193,Glycerate 3-phosphate dehydrogenase,95
194,"Glycerate-1,3-phosphate dehydrogenase",95
195,PGDH,95
196,Phosphoglycerate oxidoreductase,95
197,Phosphoglyceric acid dehydrogenase,95
198,m-hydroxybenzyl alcohol dehydrogenase,97
199,D-2-hydroxy fatty acid dehydrogenase,98
200,L-2-hydroxy fatty acid dehydrogenase,99
201,Palmitoyldihydroxyacetone-phosphate reductase,101
202,3-ketosphinganine reductase,102
203,3-oxosphinganine reductase,102
204,3-oxosphinganine:NADPH oxidoreductase,102
205,D-3-dehydrosphinganine reductase,102
206,D-3-oxosphinganine reductase,102
207,D-3-oxosphinganine:B-NADPH oxidoreductase,102
208,DSR,102
209,KTS reductase,102
210,TDH,103
211,Hydroxyproline oxidase,104
212,Panthothenase,106
213,Indole-3-lactate dehydrogenase,110
214,D-apiitol reductase,114
215,D-apiose reductase,114
216,NADP-pentose-dehydrogenase,115
217,"(2S,3R)-aldose dehydrogenase",122
218,L-fucose dehydrogenase,122
219,5-ketofructose reductase,123
220,5-ketofructose reductase (NADP(+)),124
221,5-ketofructose reductase (NADP+),124
222,2-keto-3-deoxygluconate oxidoreductase,125
223,2-keto-3-deoxy-D-gluconate dehydrogenase,126
224,2-keto-3-deoxygluconate dehydrogenase,127
225,L-threonic acid dehydrogenase,129
226,"2,3-diketo-L-gulonate reductase",130
227,3-keto-L-gulonate dehydrogenase,130
228,Mannonate dehydrogenase,131
229,dTDP-4-keto-L-rhamnose reductase,133
230,dTDP-6-deoxy-L-mannose dehydrogenase,133
231,UDP-2-acetamido-2-deoxy-D-glucose:NAD oxidoreductase,136
232,NADP-dependent mannitol dehydrogenase,138
233,Glucitol-6-phosphate dehydrogenase,140
234,Ketosephosphate reductase,140
235,15-hydroxyprostaglandin dehydrogenase,141
236,3-beta-hydroxy-5-ene steroid dehydrogenase,145
237,Progesterone reductase,145
238,Corticosteroid 11-beta-dehydrogenase,146
239,21-hydroxy steroid (nicotinamide adenine dinucleotide phosphate)dehydrogenase,151
240,21-hydroxy steroid dehydrogenase,151
241,21-hydroxy steroid dehydrogenase (nicotinamide adenine dinucleotidephosphate),151
242,NADP-21-hydroxysteroid dehydrogenase,151
243,Etiocholanolone 3-alpha-dehydrogenase,152
244,Dihydroxyacetone reductase,156
245,Beta-hydroxybutyryl-CoA dehydrogenase,157
246,BHBD,157
247,Bunolol reductase,160
248,D-erythrulose reductase,162
249,2-dehydropantolactone reductase (A-specific),168
250,2-dehydropantoyl-lactone reductase (A-specific),168
251,2-ketopantoyl lactone reductase,168
252,Ketopantoyl lactone reductase,168
253,Ketopantoate reductase,169
254,Ketopantoic acid reductase,169
255,KPA reductase,169
256,3-beta-hydroxy-4-alpha-methylcholestenecarboxylate 3-dehydrogenase(decarboxylating),170
257,3-beta-hydroxy-4-beta-methylcholestenecarboxylate 3-dehydrogenase(decarboxylating),170
258,3-beta-hydroxy-4-beta-methylcholestenoate dehydrogenase,170
259,Sterol 4-alpha-carboxylic decarboxylase,170
260,Sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating),170
261,2-ketoadipate reductase,172
262,Alpha-ketoadipate reductase,172
263,D-xylose dehydrogenase,175
264,NAD-D-xylose dehydrogenase,175
265,NAD-linked D-xylose dehydrogenase,175
266,Glycerin-3-phosphate dehydrogenase,177
267,2-methyl-3-hydroxybutyryl-CoA dehydrogenase,178
268,D-xylose-NADP dehydrogenase,179
269,3-beta-hydroxy-Delta(5)-C(27)-steroid oxidoreductase,181
270,Aldehyde reductase I,184
271,NADPH-dependent carbonyl reductase,184
272,Prostaglandin 9-ketoreductase,184
273,Xenobiotic ketone reductase,184
274,Thymidine-diphosphate-galactose dehydrogenase,186
275,GDP-4-keto-6-deoxy-D-mannose reductase,187
276,GDP-4-keto-D-rhamnose reductase,187
277,Guanosine diphosphate-4-keto-D-rhamnose reductase,187
278,PGD(2) 11-ketoreductase,188
279,PGF synthetase,188
280,Prostaglandin 11-ketoreductase,188
281,Prostaglandin-D(2) 11-ketoreductase,188
282,Prostaglandin-D(2) 11-reductase,188
283,Prostaglandin-D(2) ketoreductase,188
284,Prostaglandin-F synthetase,188
285,9-keto-prostaglandin E(2) reductase,189
286,9-ketoprostaglandin reductase,189
287,PGE(2) 9-ketoreductase,189
288,PGE(2) 9-oxoreductase,189
289,Prostaglandin-E(2) 9-oxoreductase,189
290,Prostaglandin-E2 9-reductase,189
291,Indoleacetaldehyde reductase,190
292,Fatty alcohol oxidoreductase,192
293,CAD,195
294,Prostaglandin-D 15-dehydrogenase (NADP(+)),196
295,Prostaglandin-D 15-dehydrogenase (NADP+),196
296,NADP-dependent D-sorbitol-6-phosphate dehydrogenase,200
297,NADP-dependent 7-beta-hydroxysteroid dehydrogenase,201
298,"1,3-propanediol oxidoreductase",202
299,3-hydroxypropionaldehyde reductase,202
300,Uronic acid dehydrogenase,203
301,IMP oxidoreductase,205
302,Inosinate dehydrogenase,205
303,Inosine 5'-monophosphate dehydrogenase,205
304,Inosine monophosphate oxidoreductase,205
305,Inosinic acid dehydrogenase,205
306,TR-I,206
307,Tropine dehydrogenase,206
308,Tropinone reductase,206
309,Monoterpenoid dehydrogenase,207
310,Monoterpenoid dehydrogenase,208
311,3-beta-HSD,210
312,Progesterone reductase,210
313,Beta-hydroxyacyl-CoA dehydrogenase,211
314,3-alpha-hydroxysteroid dehydrogenase,213
315,3-alpha-hydroxysteroid dehydrogenase (A-specific),213
316,2-dehydropantolactone reductase (B-specific),214
317,2-dehydropantoyl-lactone reductase (B-specific),214
318,2-ketopantoyl lactone reductase,214
319,Ketopantoyl lactone reductase,214
320,2-keto-D-gluconate reductase,215
321,2-ketogluconate reductase,215
322,Benzyl 2-methyl-3-hydroxybutyrate dehydrogenase,217
323,Naloxone reductase,218
324,Dihydroflavanol 4-reductase,219
325,Dihydroflavonol 4-reductase,219
326,NADPH-dihydromyricetin reductase,219
327,6-pyruvoyl tetrahydropterin (2'-oxo)reductase,220
328,6-pyruvoyl-tetrahydropterin 2'-reductase,220
329,6PPH4(2'-oxo) reductase,220
330,Pyruvoyl-tetrahydropterin reductase,220
331,Vomifoliol 4'-dehydrogenase,221
332,(R)-aromatic lactate dehydrogenase,222
333,NADPH-dependent M6P reductase,224
334,NADPH-mannose-6-P reductase,224
335,CDR,225
336,PG I2 dehydrogenase,231
337,Prostacyclin dehydrogenase,231
338,N-acetyl-D-mannosamine dehydrogenase,233
339,N-acyl-D-mannosamine dehydrogenase,233
340,N-acylmannosamine dehydrogenase,233
341,Pseudotropine forming tropinone reductase,236
342,TR-II,236
343,Tropinone reductase,236
344,17-beta-HSD,239
345,17-ketoreductase,239
346,D-arabinitol 2-dehydrogenase (ribulose-forming),250
347,T4HN reductase,252
348,D-carnitine dehydrogenase,254
349,MTD,255
350,NAD-dependent mannitol dehydrogenase,255
351,Glycerol-1-phosphate dehydrogenase (NAD(P)(+)),261
352,Gro1PDH,261
353,4-(phosphohydroxy)-L-threonine dehydrogenase,262
354,L-threonine 4-phosphate dehydrogenase,262
355,NAD(+)-dependent threonine 4-phosphate dehydrogenase,262
356,AF reductase,263
357,L-idonate 5-dehydrogenase,264
358,dTDP-4-keto-6-deoxyglucose reductase,266
359,1-deoxyxylulose-5-phosphate reductoisomerase,267
360,DXP-reductoisomerase,267
361,2-(2-(R)-hydroxypropylthio)ethanesulfonate dehydrogenase,268
362,2-(2-(S)-hydroxypropylthio)ethanesulfonate dehydrogenase,269
363,3-keto-steroid reductase,270
364,3-KSR,270
365,"GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase",271
366,GDP-fucose synthetase,271
367,"2,5-diketo-D-gluconate reductase",274
368,Carveol dehydrogenase,275
369,3-beta-hydroxysteroid 5-beta-oxidoreductase,277
370,3-beta-hydroxysteroid 5-beta-progesterone oxidoreductase,277
371,3-oxo ester (R)-reductase,279
372,3-oxo ester (S)-reductase,280
373,GDP-4-keto-6-deoxy-D-mannose reductase,281
374,GDP-6-deoxy-D-lyxo-4-hexulose reductase,281
375,Lactaldehyde dehydrogenase (NADP(+)),283
376,Methylglyoxal reductase (NADPH-dependent),283
377,ADH3,284
378,Chi-ADH,284
379,Class III alcohol dehydrogenase,284
380,FDH,284
381,Formaldehyde dehydrogenase,284
382,Formaldehyde dehydrogenase (glutathione),284
383,Formic dehydrogenase,284
384,GD-FALDH,284
385,Glutathione-dependent formaldehyde dehydrogenase,284
386,GS-FDH,284
387,NAD- and glutathione-dependent formaldehyde dehydrogenase,284
388,NAD-dependent formaldehyde dehydrogenase,284
389,NAD-linked formaldehyde dehydrogenase,284
390,Homoisocitrate--isocitrate dehydrogenase,286
391,D-arabinitol dehydrogenase 1,287
392,NADP(+)-dependent D-arabinitol dehydrogenase,287
393,Xanthoxin oxidase,288
394,4-O-phosphoerythronate dehydrogenase,290
395,4PE dehydrogenase,290
396,Erythronate-4-phosphate dehydrogenase,290
397,"1,5-anhydro-D-fructose reductase",292
398,AFR,292
399,Chl b reductase,294
400,Chlorophyll b reductase,294
401,Momilactone A synthase,295
402,Carveol dehydrogenase,296
403,All-trans retinal reductase,300
404,All-trans-retinol dehydrogenase,300
405,NADP(H)-dependent retinol dehydrogenase/reductase,300
406,Retinol dehydrogenase (NADP(+)),300
407,APDH,301
408,D-arabitol 1-phosphate dehydrogenase,301
409,D-arabitol 5-phosphate dehydrogenase,301
410,"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase",302
411,(R)-acetoin dehydrogenase,303
412,(S)-acetoin dehydrogenase,304
413,ArnADH,305
414,UDP-GlcUA decarboxylase,305
415,Mycothiol-dependent formaldehyde dehydrogenase,306
416,NAD/factor-dependent formaldehyde dehydrogenase,306
417,Dihydroxypropanesulfonate 3-dehydrogenase,308
418,(2S)-3-sulfolactate dehydrogenase,310
419,PED,311
420,4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase,312
421,L-galactose dehydrogenase,316
422,L-galDH,316
423,EGS2,318
424,T-anol/isoeugenol synthase 1,319
425,D-3-thujanol dehydrogenase,323
426,8-hydroxygeraniol oxidoreductase,324
427,CYP76B10,324
428,Very-long-chain 3-ketoacyl-CoA reductase,330
429,Very-long-chain beta-ketoacyl-CoA reductase,330
430,Decaprenylphospho-beta-D-ribofuranose 2'-epimerase,333
431,UDP-ManNAc 6-dehydrogenase,336
432,(R)-sulfolactate dehydrogenase,337
433,L-2-hydroxyacid dehydrogenase (NAD(+)),337
434,L-sulfolactate dehydrogenase,337
435,(R)-sulfolactate dehydrogenase,338
436,1-deoxy-11-beta-hydroxypentalenic acid dehydrogenase,340
437,6-PGDH,343
438,"2,5-diketo-D-gluconate-reductase",346
439,GeDH,347
440,HAVN dehydrogenase,352
441,VHA reductase,353
442,NAD(+)-farnesol dehydrogenase,354
443,3-alpha-hydroxysteroid dehydrogenase,357
444,2-dehydropantoyl-lactone reductase,358
445,2-ketopantoyl lactone reductase,358
446,2-oxopantoyl lactone reductase,358
447,Ketopantoyl lactone reductase,358
448,Dual-specific glucose/galactose dehydrogenase,360
449,Glucose (galactose) dehydrogenase,360
450,Glucose/galactose dehydrogenase,360
451,G6PD,363
452,G6PDH,363
453,Glc6PD,363
454,dTDP-4-dehydro-6-deoxygulose reductase,364
455,GalUR,365
456,DCI 1-dehydrogenase,369
457,"(4R,6S)-carveol dehydrogenase",375
458,Carveol dehydrogenase,375
459,CDH,375
460,Polyol dehydrogenase,387
461,Cytochrome b2,388
462,L-lactate ferricytochrome c oxidoreductase,388
463,Lactic acid dehydrogenase,388
464,D-lactate ferricytochrome c oxidoreductase,389
465,Lactic acid dehydrogenase,389
466,PVA dehydrogenase,391
467,PVADH,391
468,MDH,392
469,Methanol dehydrogenase,392
470,Malic oxidase,396
471,Beta-D-glucose:oxygen 1-oxido-reductase,397
472,D-glucose-1-oxidase,397
473,Glucose aerodehydrogenase,397
474,Glucose oxyhydrase,397
475,GOD,397
476,Cholesterol-O(2) oxidoreductase,399
477,Veratryl alcohol oxidase,400
478,GLO,401
479,L-gulono-gamma-lactone oxidase,401
480,Beta-galactose oxidase,402
481,Glucose 2-oxidase,403
482,Pyridoxin 4-oxidase,405
483,AOX,406
484,Methanol oxidase,406
485,Glycolate oxidase,408
486,Hydroxy-acid oxidase A,408
487,Hydroxy-acid oxidase B,408
488,Alpha-glycerophosphate oxidase,414
489,Thiamine dehydrogenase,416
490,PVA oxidase,423
491,D-arabinono-gamma-lactone oxidase,430
492,4-hydroxy-2-methoxybenzyl alcohol oxidase,431
493,D-arabinitol oxidase,433
494,Mannitol oxidase,433
495,Xylitol oxidase,434
496,Prosolanapyrone II oxidase/prosolanapyrone III cycloisomerase,435
497,Sol5,435
498,SPS,435
499,Aclacinomycin oxidoreductase,438
500,AknOx,438
501,Phylloquinone epoxide reductase,439
502,Vitamin K1 epoxide reductase,439
503,"Vitamin K 2,3-epoxide reductase",440
504,D-glucose:(pyrroloquinoline-quinone) 1-oxidoreductase,442
505,Glucose dehydrogenase (PQQ-dependent),442
506,Glucose dehydrogenase (pyrroloquinoline-quinone),442
507,Quinoprotein D-glucose dehydrogenase,442
508,FAD-dependent glycerol-3-phosphate dehydrogenase,443
509,Flavin-linked glycerol-3-phosphate dehydrogenase,443
510,Glycerol-3-phosphate CoQ reductase,443
511,Glycerophosphate dehydrogenase,443
512,L-glycerophosphate dehydrogenase,443
513,sn-glycerol-3-phosphate dehydrogenase,443
514,FAD-dependent malate dehydrogenase,444
515,Malate dehydrogenase (acceptor),444
516,Malate quinone oxidoreductase,444
517,MQO,444
518,PQQ alcohol dehydrogenase,445
519,PQQ-dependent ADH,445
520,PQQ-dependent alcohol dehydrogenase,445
521,Pyrroloquinoline quinone-dependent alcohol dehydrogenase,445
522,Quinoprotein ADH,445
523,Quinoprotein alcohol dehydrogenase,445
524,Type III ADH,445
525,Formate dehydrogenase N,446
526,Nitrate inducible formate dehydrogenase,446
527,Cyclic alcohol dehydrogenase,447
528,MCAD,447
529,NAD(P)(+)-independent quinate dehydrogenase,448
530,FAD-dependent glucose dehydrogenase,449
531,Glucose dehydrogenase (Aspergillus),449
532,(R)-2-hydroxy acid dehydrogenase,450
533,D-lactate dehydrogenase,450
534,Membrane-bound quinoprotein inositol dehydrogenase,451
535,PQQ-dependent inositol dehydrogenase,451
536,QIDH,451
537,QHEDH,452
538,Coenzyme F420-dependent glucose-6-phosphate dehydrogenase,454
539,F420-dependent glucose-6-phosphate dehydrogenase,454
540,Decaprenylphosphoryl-beta-D-ribofuranose 2'-epimerase,455
541,F420-dependent alcohol dehydrogenase,457
542,F420-dependent secondary alcohol dehydrogenase,457
543,Choline oxidase,458
544,Choline-cytochrome c reductase,458
545,Alpha-hydroxyglutarate dehydrogenase,459
546,Alpha-hydroxyglutarate oxidoreductase,459
547,Alpha-ketoglutarate reductase,459
548,Hydroxyglutaric dehydrogenase,459
549,L-alpha-hydroxyglutarate dehydrogenase,459
550,Ketogluconate dehydrogenase,461
551,Pyridoxol 5-dehydrogenase,466
552,D-fructose dehydrogenase,468
553,D-aldohexopyranoside dehydrogenase,470
554,Glycolate oxidoreductase,471
555,Glycolic acid dehydrogenase,471
556,CBOR,475
557,CDH,475
558,Cellobiose dehydrogenase,475
559,Cellobiose dehydrogenase (quinone),475
560,Cellobiose oxidase,475
561,Cellobiose oxidoreductase,475
562,Cellobiose-quinone oxidoreductase,475
563,Polyethylene glycol dehydrogenase,477
564,(R)-pantoyllactone dehydrogenase (flavin),484
565,2-dehydropantolactone reductase (flavin),484
566,2-dehydropantoyl-lactone reductase (flavin),484
567,PDH,486
568,Pyranose dehydrogenase,486
569,Pyranose-quinone oxidoreductase,486
570,Quinone-dependent pyranose dehydrogenase,486
571,(2R)-hydroxycarboxylate-viologen-oxidoreductase,487
572,2-oxoacid reductase,487
573,HVOR,487
574,L(+)-mandelate dehydrogenase,488
575,MDH,488
576,SDH,489
577,Formate dehydrogenase H,490
578,Formate dehydrogenase O,490
579,Glucose dehydrogenase (PQQ-dependent),492
580,Soluble glucose dehydrogenase,492
581,NDMA-dependent alcohol dehydrogenase,493
582,Nicotinoprotein alcohol dehydrogenase,493
583,NDMA-dependent methanol dehydrogenase,494
584,Nicotinoprotein methanol dehydrogenase,494
585,BADH,504
586,Betaine aldehyde dehydrogenase,504
587,Betaine aldehyde oxidase,504
588,Triosephosphate dehydrogenase,505
589,Acylating acetaldehyde dehydrogenase,506
590,Aldehyde dehydrogenase (acylating),506
591,ASA dehydrogenase,507
592,Aspartic semialdehyde dehydrogenase,507
593,L-aspartate-beta-semialdehyde dehydrogenase,507
594,GAPDH,508
595,NAD-dependent glyceraldehyde-3-phosphate dehydrogenase,508
596,Triosephosphate dehydrogenase,508
597,NADP-dependent glyceraldehyde-3-phosphate dehydrogenase,509
598,Triosephosphate dehydrogenase (NADP(+)),509
599,Triosephosphate dehydrogenase (NADP+),509
600,1-pyrroline dehydrogenase,515
601,4-aminobutanal dehydrogenase,515
602,ABALDH,515
603,Gamma-guanidinobutyraldehyde dehydrogenase,515
604,Alpha-ketoaldehyde dehydrogenase,519
605,Methylglyoxal dehydrogenase,519
606,MMSA dehydrogenase,523
607,MSDH,523
608,2-aminoadipate semialdehyde dehydrogenase,527
609,2-aminoadipic semialdehyde dehydrogenase,527
610,Alpha-aminoadipate reductase,527
611,Alpha-aminoadipate-semialdehyde dehydrogenase,527
612,Aminoadipate semialdehyde dehydrogenase,527
613,L-alpha-aminoadipate delta-semialdehyde oxidoreductase,527
614,L-alpha-aminoadipate delta-semialdehyde:NAD oxidoreductase,527
615,L-alpha-aminoadipate delta-semialdehyde:nicotinamide adenine dinucleotideoxidoreductase,527
616,D-aldopantoate dehydrogenase,529
617,N-acetyl-glutamate semialdehyde dehydrogenase,534
618,NAGSA dehydrogenase,534
619,Beta-glutamylphosphate reductase,537
620,Gamma-glutamylphosphate reductase,537
621,Glutamyl-gamma-semialdehyde dehydrogenase,537
622,Fatty acyl-CoA reductase,538
623,Alpha-ketoaldehyde dehydrogenase,545
624,Methylglyoxal dehydrogenase,545
625,Acyl-CoA reductase,546
626,Pyruvate:NADP(+) oxidoreductase,547
627,NAD(P)-dependent glyceraldehyde-3-phosphate dehydrogenase,555
628,Triosephosphate dehydrogenase (NAD(P)(+)),555
629,Triosephosphate dehydrogenase (NAD(P)),555
630,Carboxymethylhydroxymuconic semialdehyde dehydrogenase,556
631,p-hydroxybenzaldehyde dehydrogenase,560
632,N-succinylglutamate 5-semialdehyde dehydrogenase,567
633,SGSD,567
634,Succinylglutamic semialdehyde dehydrogenase,567
635,E4P dehydrogenase,568
636,E4PDH,568
637,Erythrose 4-phosphate dehydrogenase,568
638,Abietadienal dehydrogenase,570
639,Malonyl CoA reductase (NADP),571
640,NADP-dependent malonyl CoA reductase,571
641,Coenzyme-A-dependent succinate-semialdehyde dehydrogenase,572
642,Succinyl-CoA reductase,572
643,"3,4-dehydroadipyl-CoA semialdehyde dehydrogenase",573
644,2-carboxybenzaldehyde dehydrogenase,574
645,Fatty acyl-[acyl-carrier-protein] reductase,576
646,Beta-apo-4'-carotenal dehydrogenase,578
647,GaDH,582
648,1-pyrroline-5-carboxylate dehydrogenase,584
649,Delta(1)-pyrroline-5-carboxylate dehydrogenase,584
650,Pyrroline-5-carboxylate dehydrogenase,584
651,GADH,585
652,Glyceraldehyde dehydrogenase,585
653,"Hexadecanal dehydrogenase (acylating, NADP dependent)",587
654,Carbon monoxide oxidase,592
655,Carbon monoxide oxygenase (cytochrome b-561),592
656,Carbon monoxide:methylene blue oxidoreductase,592
657,Quinoline oxidase,593
658,Retinal oxidase,593
